Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,ملعقة,أداة مائدة تستخدم لتناول الطعام أو الخلط، وعادة ما تكون مصنوعة من المعدن أو البلاستيك أو الخشب. تحتوي على وعاء عميق أو مقعر في أحد طرفيها ومقبض طويل في الطرف الآخر.
"bare, au naturel, naked, nude",completely unclothed,عاري,غير مُغطى بالكامل.
look,perceive with attention; direct one's gaze towards,ينظر,توجيه البصر نحو شيء ما، أو محاولة رؤية أو فهم شيء ما
"obstruct, blockade, block, hinder, stymie, stymy, embarrass",hinder or prevent the progress or accomplishment of,يعيق,منع أو عرقلة شيء ما
"violence, force",an act of aggression (as one against a person who resists),قوة,القوة أو الضغط الذي يؤثر على شيء ما
"reason, ground",a rational motive for a belief or action,سبب,السبب أو المبرر الذي يُفسر تصرفًا أو قرارًا معينًا
"freeze, frost",weather cold enough to cause freezing,تجمّد,حالة التجمّد أو عملية تحول المادة من الحالة السائلة إلى الحالة الصلبة نتيجة لانخفاض درجة الحرارة.
pillow,a cushion to support the head of a sleeping person,وسادة,وسادة لدعم رأس الشخص النائم.
"look, appear, seem",give a certain impression or have a certain outward aspect,يبدو,تعطي انطباعًا معينًا أو لها مظهر خارجي معين.
sound,give off a certain sound or sounds,GAP,
"indicate, point, show","indicate a place, direction, person, or thing; either spatially or figuratively",يشير,يشير إلى مكان أو اتجاه أو شخص أو شيء، سواء بشكل مكاني أو مجازي.
bow,curved piece of resilient wood with taut cord to propel arrows,قوس,قطعة من الخشب المنحني المرن مع وتر مشدود لدفع الأسهم.
"cry, weep","shed tears because of sadness, rage, or pain",يَبكي,تسقط الدموع بسبب الحزن أو الغضب أو الألم.
"war, warfare",the waging of armed conflict against an enemy,حرب,نزاع مسلح بين دولتين أو مجموعتين، يتميز باستخدام القوة العسكرية.
"at a time, at once, at one time",simultaneously,GAP,
kill,"cause the death of, without intention",يقتل,إنهاء حياة شخص أو كائن حي.
"convey, impart","make known; pass on, of information",ينقل,يجعل معروفًا؛ ينقل، معلومات.
"show, show up",be or become visible or noticeable,يظهر,يظهر أو يصبح مرئيًا أو ملحوظًا.
box,a (usually rectangular) container; may have a lid,صندوق,حاوية مصنوعة عادةً من الورق المقوى أو الخشب، تستخدم لتخزين أو نقل الأشياء.
sing,produce tones with the voice,يغني,إصدار الصوت الموسيقي باستخدام الحنجرة، وغالبًا ما يتم ذلك مع نغمات أو ألحان.
work,activity directed toward making or doing something,عمل,
"sew, run up, sew together, stitch",fasten by sewing; do needlework,يخيط,
"company, companionship, fellowship, society",the state of being with someone,رفقة,حالة التواجد مع شخص ما.
conversation,the use of speech for informal exchange of views or ideas or information etc.,محادثة,الحوار أو الحديث المتبادل بين شخصين أو أكثر، حيث يتم تبادل الأفكار والمعلومات.
"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,جد,والد أحد الوالدين.
"grandma, grandmother, granny, grannie, gran",the mother of your father or mother,جدة,والدة أحد الوالدين.
"hide, conceal",prevent from being seen or discovered,يخفي,إخفاء شيء أو شخص عن الأنظار أو عن المعرفة.
staff,a strong rod or stick with a specialized utilitarian purpose,GAP,
"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue",exhaust or get tired through overuse or great strain or stress,يتعب,يستنفد أو يتعب بسبب الإفراط في الاستخدام أو الضغط الكبير أو الإجهاد.
"glue, paste",join or attach with or as if with glue,يلصق,ربط شيء بشيء آخر باستخدام مادة لاصقة.
"alone, solo, unaccompanied",without anybody else,وحيد,بدون أي شخص آخر.
cover,provide with a covering or cause to be covered,يغطي,وضع شيء فوق شيء آخر لحمايته أو لتغطيته.
"deceive, lead on, delude, cozen",be false to; be dishonest with,يخدع,اعتقاد غير صحيح أو مضلل لدى شخص ما من خلال الكذب أو الخداع
ail,"be unwell, ill, or ill disposed",يُعاني,يشعر بالألم أو عدم الراحة، أو أن يكون هناك مشكلة صحية.
"bay, embayment",an indentation of a shoreline larger than a cove but smaller than a gulf,خليج,هي منطقة من الماء تتداخل مع اليابسة
watch,look attentively,يُشاهد,مراقبة شيء ما أو شخص ما بعناية، أو الانتباه له لفترة من الزمن.
fog,droplets of water vapor suspended in the air near the ground,ضباب,سحابة من قطرات الماء الصغيرة تتواجد بالقرب من سطح الأرض، مما يقلل من الرؤية.
all,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,جميع,كل شيء أو كل شخص بدون استثناء. تُستخدم للتعبير عن الكلية أو الشمول.
"guest, invitee",a visitor to whom hospitality is extended,ضيف,قررت أن أدعو ضيفًا لحضور العشاء يوم الجمعة.
"brain, encephalon",that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,دماغ,العضو الرئيسي في الجهاز العصبي المركزي، المسؤول عن التفكير، الذاكرة، الحركة، والإحساس.
"puzzle, puzzler, mystifier, teaser",a particularly baffling problem that is said to have a correct solution,لغز,مشكلة محيرة بشكل خاص يُقال إن لها حلًا صحيحًا.
"count, number, enumerate, numerate",determine the number or amount of,يعد, تحديد العدد أو الكمية
fault,responsibility for a bad situation or event,خطأ,خطأ أو عيب أو خلل في شيء ما، يمكن أن يشير أيضًا إلى المسؤولية عن خطأ أو حادث.
"sicken, come down",get sick,يمرض,يجعل الشخص يشعر بالمرض أو الدوار، أو الشعور بالاستياء.
long,for an extended time or at a distant time,طويلًا,دى زمني طويل أو فترة ممتدة.
"egg, eggs",oval reproductive body of a fowl (especially a hen) used as food,بيض,جسم بيضاوي الشكل يتكون عادة من قشرة صلبة أو رقيقة ويحتوي على صفار وبياض، ويُستخدم كمصدر غذائي.
count,the total number counted,عدد,العدد أو الكمية، أو عملية حساب الأشياء.
"bridge, span",a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,جسر,هيكل يسمح للناس أو المركبات بعبور عقبة مثل نهر أو قناة أو سكة حديد.
"flash, blink, wink, twinkle, winkle",gleam or glow intermittently,يتلألأ,يتلألأ أو يتوهج بشكل متقطع.
cuckoo,any of numerous European and North American birds having pointed wings and a long tail,GAP,
"bird louse, biting louse, louse",wingless insect with mouth parts adapted for biting; mostly parasitic on birds,قمل,حشرة صغيرة تتطفل على الثدييات والطيور، تتغذى على دماء مضيفها أو جلودها.
"govern, rule",exercise authority over; as of nations,يحكم,يمارس السلطة أو السيطرة على شيء أو شخص، قد يكون ذلك من خلال القوانين أو العادات.
"brook, creek",a natural stream of water smaller than a river (and often a tributary of a river),جدول,مجرى مائي صغير وعادة ما يكون عذبًا، أصغر من النهر.
"joy, joyousness, joyfulness",the emotion of great happiness,فرح,حالة الفرح والسعادة
"close, shut",move so that an opening or passage is obstructed; make shut,يغلق,إغلاق شيء بإحكام.
"vainly, in vain",to no avail,عبثًا,بلا جدوى أو دون تحقيق أي نتيجة.
"open, open up",cause to open or to become open,يفتح,جعل شيء ما مفتوحًا أو السماح له بأن يكون في حالة غير مغلقة.
"tell, narrate, recount, recite",narrate or give a detailed account of,يخبر,يسرد أو يقدم وصفًا تفصيليًا.
milk,a white nutritious liquid secreted by mammals and used as food by human beings,حليب,سائل أبيض مغذٍ تفرزه الثدييات ويستخدم كغذاء من قبل البشر.
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,كهف,تجويف طبيعي أو فراغ داخل الأرض، عادةً ما يكون في الصخور.
"recuperate, recover, convalesce",get over an illness or shock,يتعافى,التعافي من مرض أو صدمة.
fly,two-winged insects characterized by active flight,ذباب,نوع من الحشرات الطائرة، وعادة ما تكون صغيرة وتتميز بأجنحة
sign,a public display of a (usually written) message,علامة,علامة أو إشارة تستخدم لنقل المعلومات أو الإرشادات أو للإشارة إلى شيء ما
"interrupt, disturb",destroy the peace or tranquility of,يُزعج,التسبب في عدم الهدوء أو الراحة
"kettle, boiler",a metal pot for stewing or boiling; usually has a lid,غلاية,وعاء يستخدم لتسخين الماء أو الطهي، وعادةً ما يكون له غطاء ومقبض.
"hark back, return, come back, recall",go back to something earlier,يعود,الذهاب إلى مكان أو حالة سابقة
"translate, interpret, render",restate (words) from one language into another language,ترجم,إعادة صياغة (الكلمات) من لغة إلى لغة أخرى.
"crisscross, cross, mark",a marking that consists of lines that cross each other,صليب,علامة تتكون من خطوط تتقاطع مع بعضها.
cloud,a visible mass of water or ice particles suspended at a considerable altitude,سحابة,تجمع من قطرات الماء أو بلورات الجليد الصغيرة المعلقة في الغلاف الجوي على ارتفاعات مختلفة،
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,زبدة,مادة دهنية صفراء أو بيضاء تُصنع من حليب الأبقار أو الماعز، تستخدم كغذاء، وغالبًا ما تُستخدم في الطهي أو كإضافة للخبز.
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,مِكنسة,أداة تستخدم لتنظيف الأرضيات، وتتكون عادةً من شعيرات أو قش مثبتة على مقبض طويل.
"connect, link, tie, link up","connect, fasten, or put together two or more pieces",يربط,يربط أو يثبت أو يجمع بين قطعتين أو أكثر.
listen,hear with intention,يستمع,الانتباه إلى الأصوات أو الكلام والتركيز عليها بهدف الفهم أو الاستيعاب.
hear,perceive  (sound) via the auditory sense,يسمع,القدرة على إدراك الأصوات من خلال الأذن، سواء كان ذلك عن طريق الاستماع بقصد أو بغير قصد.
"talk, speak",exchange thoughts; talk with,يتحدث,إجراء محادثة أو تبادل الأفكار أو المعلومات مع شخص آخر، وغالبًا ما يتضمن أسلوبًا غير رسمي.
"aunt, auntie, aunty",the sister of your father or mother; the wife of your uncle,GAP,
"troop, flock",an orderly crowd,فوج,حشد منظم.
stroke,a mark made by a writing implement (as in cursive writing),ضربة,ضربة أو حركة تقوم بها يد أو أداة
"speak, talk",use language,يتكلم,التعبير عن الأفكار أو المعلومات باستخدام الكلمات
stick,a long thin implement resembling a length of wood,عصا,طعة من الخشب أو أي مادة صلبة أخرى، غالبًا ما تكون طويلة ورفيعة
"bucket, pail",a roughly cylindrical vessel that is open at the top,دلو,حاوية عادةً ما تكون مصنوعة من البلاستيك أو المعدن، لها مقبض، وتستخدم لحمل السوائل أو المواد الأخرى.
"make noise, resound, noise",emit a noise,ضجيج,إنتاج صوت أو إحداث ضوضاء.
perch,any of numerous spiny-finned fishes of various families of the order Perciformes,سمكة البرك,أي من العديد من الأسماك الشائكة الزعانف التي تنتمي إلى عائلات مختلفة من ترتيب البركيات.
"edge, margin",a strip near the boundary of an object,حافة,الحدود أو الحافة الخارجية لشيء، مثل حافة ورقة أو جانب من جسم.
"animation, life, living, aliveness",the condition of living or the state of being alive,حياة,حالة العيش أو حالة كون المرء حيًا.
mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,بعوضة,حشرة ذات جناحين حيث تمتلك الأنثى خرطومًا طويلًا لخرق الجلد وامتصاص دم البشر والحيوانات.
pole,a long (usually round) rod of wood or metal or plastic,عمود,عمود طويل ومستقيم، قد يُستخدم لأغراض متنوعة مثل الدعم، أو التوجيه، أو كحدود.
"affect, impress, move, strike",have an emotional or cognitive impact upon,يؤثر,التأثير على شخص أو شيء، غالبًا في سياق المشاعر أو الحالة النفسية.
be,"have the quality of being; (copula, used with an adjective or a predicate noun)",يكون,فعلًا ناقصًا يُستخدم لتحديد وجود شيء أو شخص، ويستخدم للتعبير عن الحالة أو الهوية. يُعتبر من الأفعال الأساسية في اللغة الإنجليزية.
paint,apply paint to; coat with paint,يُلوِّن,وضع مادة ملونة (مثل الطلاء أو الألوان) على سطح ما باستخدام فرشاة أو أداة أخرى.
pike,any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere,سمك الكراكي,أي من عدة أنواع من الأسماك النهرية ذات الأنف الطويل والممدود، والتي تُعتبر لعبة وغذاء، وتوزع على نطاق واسع في الأجزاء الأكثر برودة من نصف الكرة الشمالي.
knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,سكين,أداة حادة ذات شفرة، تُستخدم لقطع الأشياء، وتتميز بمقبض لسهولة الإمساك بها.
"meaning, substance",the idea that is intended,معنى,المعنى أو الدلالة التي تحملها كلمة أو عبارة أو فكرة.
"end, stop, finish, terminate, cease","have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",ينهي,يمتلك نهاية، سواء من حيث الزمن أو المكان أو الكمية؛ سواء كانت مكانية أو مجازية.
"disturb, upset, trouble",move deeply,يُزعج,التسبب في انزعاج عاطفي أو ذهني لشخص.
"ring, peal",sound loudly and sonorously,يقرع,يصدر صوتًا عاليًا ورنانًا.
size,the physical magnitude of something (how big it is),حجم,البعد أو الكمية أو المساحة أو الحجم الذي يشغله شيء ما.
"bundle, sheaf",a package of several things tied together for carrying or storing,حزمة,مجموعة من الأشياء المرتبطة أو المجمعة معًا، وغالبًا ما تكون مغلفة أو مربوطة.
chime,emit a sound,يدق,إصدار صوت موسيقي، عادةً عند قرع جرس أو مجموعة من الأجراس.
rustle,make a dry crackling sound,يتموج,إصدار صوت خفيف ومتموج، غالبًا ما يكون ناتجًا عن حركة أوراق الشجر أو الأقمشة أو الأشياء الأخرى التي تحتك ببعضها.
honey,a sweet yellow liquid produced by bees,عسل,مادة حلوة ولزجة تُنتجها النحل من رحيق الأزهار، وتُستخدم كمُحلي طبيعي ومكون في الطهي.
knot,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object,عقدة,حلقة أو عقدة تُشكل بواسطة ربط خيط أو حبل، وغالبًا ما تُستخدم لتثبيت الأشياء أو ربطها معًا.
love,be enamored or in love with,يحب,الشعور بعمق بالمودة والاحترام والاهتمام تجاه شخص أو شيء.
"be, live","have life, be alive",يعيش,التواجد في مكان ما أو ممارسة الحياة. يُستخدم للإشارة إلى الوجود أو الاستمرار في الحياة.
wood,the hard fibrous lignified substance under the bark of trees,خشب,مادة صلبة تستخرج من الأشجار والشجيرات، تُستخدم في البناء وصناعة الأثاث والأشياء الأخرى.
like,find enjoyable or agreeable,يحب,الشعور بالاستحسان أو المودة تجاه شخص أو شيء، أو تفضيله على الآخرين.
"tinkle, tink, clink, chink",make or emit a high sound,يقرع,إصدار صوت خفيف ومعدني، غالبًا ما يحدث عند اصطدام الأجسام المعدنية أو الزجاجية ببعضها.
"stove, kitchen stove, range, kitchen range, cooking stove",a kitchen appliance used for cooking food,موقد,جهاز يستخدم لطهي الطعام، غالبًا ما يتكون من سطح مسطح للطبخ وموقد أو أفران.
duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,بطة,طائر مائي يتميز بجسم ممتلئ ورقبة قصيرة ومنقار واسع. يُعتبر من الطيور التي تعيش في المياه العذبة والمالحة.
"board, plank",a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,لوح,قطعة مسطحة من الخشب، تُستخدم في البناء أو كقاعدة لشيء ما.
kick,strike with the foot,يركل,دفع شيء ما باستخدام القدم، أو ضربه بطريقة تخرج عن السيطرة.
"fear, dread",be afraid or scared of; be frightened of,يخاف,الشعور بالخوف أو القلق من شيء ما أو شخص ما.
ladder,steps consisting of two parallel members connected by rungs; for climbing up or down,سلم,أداة تستخدم للصعود أو النزول، تتكون عادة من مجموعة من القضبان الأفقية المثبتة بين عمودين.
fear,be afraid or feel anxious or apprehensive about a possible or probable situation or event,يخاف,الشعور بالخوف أو القلق من شيء ما أو شخص ما، ويعبر عن عدم الارتياح بسبب خطر محتمل.
"strap, shoulder strap",a band that goes over the shoulder and supports a garment or bag,حزام,حزام يُرتدى على الكتف، غالبًا ما يكون جزءًا من حقيبة أو قطعة ملابس، يُستخدم لحمل أو دعم الوزن.
"change, alter, vary","make or become different in some particular way, without permanently losing one's or its former characteristics or essence",يغير,تحويل شيء ما إلى حالة أو وضع مختلف، سواء كان ذلك بشكل جزئي أو كلي.
through,in diameter,قطر,المسافة المستقيمة عبر مركز الشكل الهندسي.
"foam, froth",a mass of small bubbles formed in or on a liquid,رغوة,كتلة من الفقاعات الصغيرة المتكونة في أو على سطح سائل.
wool,fiber sheared from animals (such as sheep) and twisted into yarn for weaving,صوف,الألياف الطبيعية التي تُؤخذ من صوف الأغنام وبعض الحيوانات الأخرى، وتُستخدم في صناعة الأقمشة والملابس.
"food, solid food",any solid substance (as opposed to liquid) that is used as a source of nourishment,طعام,مادة تؤكل أو تُشرب لتوفير التغذية والطاقة للكائنات الحية.
tomorrow,"the next day, the day after, following the present day",غدًا,اليوم التالي أو الوقت الذي يأتي بعد اليوم الحالي.
"change, alter, modify",cause to change; make different; cause a transformation,يُغيّر,إدخال تغييرات أو تعديلات لجعل شيء ما أكثر ملاءمة أو توافقًا.
dish,a particular item of prepared food,طبق,طبق يتم تقديم الطعام فيه، أو يُستخدم للإشارة إلى نوع معين من الأطعمة المحضرة لتناولها.
"character, grapheme, graphic symbol",a written symbol that is used to represent speech,رمز,رمز مكتوب يُستخدم لتمثيل الكلام.
"recognize, recognise, distinguish, discern, pick out, make out, tell apart",detect with the senses,يميز,يكتشف بالحواس
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,حار,مستخدم لوصف الحرارة الجسدية؛ له درجة حرارة مرتفعة أو أعلى من المرغوب، أو يعطي حرارة أو يشعر أو يسبب إحساسًا بالحرارة أو الاحتراق.
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,وعاء,وعاء طهي معدني أو مصنوع من الفخار، عادة ما يكون دائريًا وعميقًا؛ وغالبًا ما يحتوي على مقبض وغطاء.
"taste, savor, savour",have flavor; taste of something,تذوق,استشعار أو تذوق الطعام أو الشراب باستخدام حاسة التذوق.
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,زر,زر دائري مُخاط إلى القمصان والمعاطف وما إلى ذلك ليدخل من خلال فتحات الأزرار.
memory,something that is remembered,ذاكرة,القدرة على تخزين واسترجاع المعلومات والتجارب، أو الجزء من الدماغ الذي يخزن المعلومات.
"string, twine",a lightweight cord,خيط,مادة رفيعة وطويلة مصنوعة من الألياف أو المواد الأخرى
"rain, rainfall",water falling in drops from vapor condensed in the atmosphere,مطر,هطول المياه على شكل قطرات من السحاب إلى الأرض.
"annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","cause annoyance in; disturb, especially by minor irritations",يزعج,يتسبب في إزعاج شخص ما أو جعله يشعر بعدم الراحة أو الاستياء.
pouch,a small or medium size container for holding or carrying things,كيس,وعاء صغير أو حاوية مصنوعة من مادة ناعمة، تُستخدم عادةً لحمل الأشياء الصغيرة أو تخزينها.
write,communicate or express by writing,يكتب,يقوم بتدوين النصوص أو المعلومات باستخدام قلم أو آلة كتابة أو أي وسيلة أخرى.
"fever, febrility, febricity, pyrexia, feverishness",a rise in the temperature of the body; frequently a symptom of infection,حمى,ارتفاع غير طبيعي في درجة حرارة الجسم، غالبًا ما يكون علامة على مرض أو عدوى.
"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,نملة,حشرة صغيرة تعيش في مستعمرات، تُعرف بقدرتها على العمل الجماعي وتنظيم نفسها
leather,an animal skin made smooth and flexible by removing the hair and then tanning,جلد,مادة مصنوعة من جلد الحيوانات، تُستخدم في صناعة الملابس، الأحذية، الأثاث، وغيرها من المنتجات.
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,وزة,طائر مائي كبير ينتمي إلى فصيلة الأوز، يمتاز بجسمه الضخم ورقبته الطويلة.
cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,بارد,ذو درجة حرارة منخفضة، أو غير دافئ.
"gather, garner, collect, pull together",assemble or get together,يجمع,يتجمع أو يجمع الأشياء أو المعلومات من أماكن متعددة.
give,transfer possession of something concrete or abstract to somebody,يعطي,يقدم شيئًا لشخص آخر أو يشارك شيئًا معه.
shadow,shade within clear boundaries,ظل,منطقة مظللة تتكون عندما يحجب جسم ما الضوء.
call,a request,نداء,الصوت الذي يُستخدم لجذب انتباه شخص ما أو للاتصال بشخص ما.
"under, below",further down,تحت,في موضع أقل من شيء آخر أو في الأسفل.
hole,an opening into or through something,ثقب,فراغ أو فتح في شيء، مثل الأرض أو الجدار، يُمكن أن يكون دائريًا أو غير منتظم الشكل.
"keep, hold on",retain possession of,احتفظ,الحفاظ على شيء أو الإبقاء عليه في حيازتك أو السيطرة عليه.
"happiness, felicity",state of well-being characterized by emotions ranging from contentment to intense joy,سعادة,حالة من الشعور بالفرح والسرور والرضا.
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,بجع,طائر مائي كبير يتميز بجسمه الطويل وعنقه المتعرج وريشه الأبيض.
"own, have, possess",have ownership or possession of,يمتلك,أن يكون لديك شيء أو تمتلكه.
turn out,prove to be in the result or end,يتبين,أن يظهر أو يصبح معروفًا في النهاية.
"snow, snowfall",precipitation falling from clouds in the form of ice crystals,ثلج,هطول بلورات الثلج المتجمدة من السماء.
"buy, purchase",obtain by purchase; acquire by means of a financial transaction,شراء,الحصول على شيء مقابل المال.
"become, go, get",enter or assume a certain state or condition,يصبح,الانتقال من حالة أو وضع إلى آخر.
wait,stay in one place and anticipate or expect something,انتظر,البقاء في مكان أو عدم القيام بشيء معين حتى يحدث شيء آخر.
"fail, betray","disappoint, prove undependable to; abandon, forsake",فشل,عدم النجاح في تحقيق هدف معين أو عدم الوفاء بوعد أو ثقة.
book,a written work or composition that has been published (printed on pages bound together),كتاب,عمل مكتوب أو تأليف تم نشره (مطبوع على صفحات مجمعة معًا).
"decrease, diminish, lessen, fall","decrease in size, extent, or range",ينقص,جعل شيء ما أقل في الكمية أو الحجم أو القوة أو القيمة.
"receive, have",get something; come into possession of,يتلقى,الحصول على شيء؛ الدخول في حيازة شيء.
"get, acquire",come into the possession of something concrete or abstract,اكتساب,الحصول على شيء أو كسبه.
island,a land mass (smaller than a continent) that is surrounded by water,جزيرة,قطعة من الأرض محاطة بالماء من جميع الجهات.
"husband, hubby, married man",a married man; a woman's partner in marriage,زوج ,رجل متزوج؛ شريك المرأة في الزواج.
"area, expanse, surface area",the extent of a 2-dimensional surface enclosed within a boundary,مساحة,مدى السطح ثنائي الأبعاد المحصور داخل حدود.
"meal, repast",the food served and eaten at one time,وجبة,الطعام الذي يتم تناوله في جلسة واحدة.
length,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place,الطول,الامتداد الخطي في الفضاء من طرف إلى آخر؛ أطول بُعد أفقي لشيء ثابت في مكانه.
"distance, length",size of the gap between two places,مسافة,القياس الكمي للفراغ أو الفضاء بين نقطتين.
"head, caput",the upper part of the human body or the front part of the body in animals; contains the face and brains,رأس,الجزء العلوي من الجسم أو شيء يشبه الرأس.
shake,bring to a specified condition by or as if by shaking,يهز,إحضار إلى حالة محددة عن طريق أو كما لو كان عن طريق الاهتزاز.
"wipe, pass over",rub with a circular motion,يمسح ,عملية تنظيف شيء ما أو إزالة آثار معينة
lake,a body of (usually fresh) water surrounded by land,بحيرة,مسطح مائي كبير من المياه العذبة أو المالحة، محاط بالأرض من جميع الجهات.
ash,the residue that remains when something is burned,رماد,المادة التي تتبقى بعد احتراق مادة معينة، مثل الخشب أو الفحم.
increase,become bigger or greater in amount,يزيد,جعل شيء ما أكبر أو أكثر أو أعلى من حالته الحالية.
"land, ground, soil","land, ground, soil",أرض,مختلف جوانب السطح الأرضي.
sweep,clean by sweeping,يكنس,ينظف عن طريق الكنس.
"sweep, broom",sweep with a broom or as if with a broom,يكنس,يكنس باستخدام مكنسة أو كما لو كان باستخدام مكنسة.
"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal,قيود,قيود تتكون من حبل (أو سلسلة خفيفة) تستخدم لتقييد حيوان.
hungry,feeling hunger; feeling a need or desire to eat food,جائع,الشعور بالجوع؛ الشعور بالحاجة أو الرغبة في تناول الطعام.
strong,having strength or power greater than average or expected,قوي,القدرة على التحمل أو الفعالية، سواء من حيث الجسدية أو القوة النفسية أو القدرة على التأثير.
jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth,فك,الجزء العظمي في الوجه الذي يحتوي على الأسنان ويستخدم في عملية المضغ.
"height, tallness",the vertical dimension of extension; distance from the base of something to the top,طول,قياس البعد العمودي للأشياء أو الأشخاص.
mainland,the main land mass of a country or continent; as distinguished from an island or peninsula,البر الرئيسي,الكتلة الأرضية الرئيسية لدولة أو قارة؛ على عكس الجزيرة أو شبه الجزيرة.
"neck, cervix",the part of an organism that connects the head to the rest of the body,رقبة,الجزء من الكائن الحي الذي يربط الرأس ببقية الجسم.
today,on this day as distinct from yesterday or tomorrow,اليوم,يومنا الحالي.
weak,having little physical or spiritual strength,ضعيف,عدم القوة أو القدرة، سواء من الناحية الجسدية أو النفسية أو العاطفية.
beat,hit repeatedly,يضرب,ضرب شيء ما أو شخص ما، أو التنافس والانتصار عليه.
"allege, aver, say",report or maintain,يقول,التعبير عن الأفكار أو المعلومات أو الآراء من خلال الكلام أو الكتابة.
"nape, scruff, nucha",the back side of the neck,مؤخرة العنق,الجانب الخلفي من الرقبة.
"dwell, live, inhabit",inhabit or live in,يسكن,الإقامة أو العيش في مكان معين.
"throat, pharynx",the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,الحلق,الممر إلى المعدة والرئتين؛ يقع في الجزء الأمامي من الرقبة أسفل الذقن وفوق عظمة الترقوة.
"flat, level, plane","having a surface without slope, tilt in which no part is higher or lower than another",مستوي,لديه سطح خالٍ من الميل أو الانحدار، حيث لا يكون أي جزء أعلى أو أقل من الآخر.
support,supporting structure that holds up or provides a foundation,الدعم,شيء أو شخص يساعد أو يعزز شيء آخر.
gift,something acquired without compensation,هدية,شيء يُعطى لشخص آخر دون توقع الحصول على شيء في المقابل.
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,حساء,سائل غذائي يُعد عادةً من المكونات مثل الخضار، اللحوم أو المعكرونة، وغالبًا ما يُؤكل كطبق رئيسي أو جانبي.
herd,"keep, move, or drive animals",يُرعى,جمع أو قيادة مجموعة من الحيوانات، خاصة الماشية أو الأغنام.
shoulder,the part of the body between the neck and the upper arm,كتف,الجزء من الجسم الذي يربط الذراع بالجسم.
"fabric, cloth, material, textile",artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,قماش,المواد المصنوعة من الألياف، وتستخدم في صنع الملابس والأثاث وغيرها من المنتجات.
"benefit, welfare",something that aids or promotes well-being,فائدة ,المساعدة أو الدعم الذي يُقدّم للأفراد أو الجماعات لتحسين ظروفهم المعيشية.
"weather, weather condition, atmospheric condition",the meteorological conditions: temperature and wind and clouds and precipitation,الطقس,الظروف الجوية السائدة في منطقة معينة في وقت محدد، مثل درجة الحرارة، الرطوبة، الرياح، والهطول.
lid,a movable top or cover (hinged or separate) for closing the opening of a container,غطاء,هو قطعة تستخدم لتغطية أو إغلاق حاوية أو وعاء، مثل علبة أو زجاجة.
"wind, air current, current of air",air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,الرياح,حركة الهواء في الغلاف الجوي.
"thorax, chest, pectus",the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,الصدر,الجزء من الجسم الذي يحتوي على القلب والرئتين، ويقع بين الرقبة والبطن.
cap,a tight-fitting headdress,قبعة,غطاء رأس ضيق يناسب الرأس بإحكام.
"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,مستنقع,نطقة موحلة أو عشبية، غالبًا ما تكون غير مزروعة وتحتوي على نباتات مثل الأعشاب والأشجار القصيرة.
"breast, bosom, knocker, boob, tit, titty",either of two soft fleshy milk-secreting glandular organs on the chest of a woman,الثدي,عضوين غديين لحمين يفرزان الحليب على صدر المرأة.
