Banjarese Lemma,Banjarese Definition,Indonesian Lemma,Indonesian Definition
rangai,wadai rangai adalah wadai tradisiunal has kalimantan salatan nang diulah matan sisa parutan nyiur nang dicampur lawan gula habang wan galapung baras di kalimantan salatan rangai rancak dimakan wayahan santai baminuman amun dilihat sapandang rangai pina mirip lawan wadai wingko babat tapi sabujurnya rasanya balain wadai rangai baisi rasa gurih wan karing amun wingko babat rasanya manis wan jua bantukannya pina linyak,GAP,
kukulih,"nama kuih matan tepung baras diberi warna hijau matan pandan, dimasak seperti membuat dodol, dimakan dengan air gula merah",GAP,
hanaw,pohon janis palem umbut batangnya baisi sagu nang kawa dimakan ijuknya hagan hatap rumah wan sabagainya niranya disasap hagan diulah gula gula habang bagat kabung mergat,GAP,
salak,buah salak,salak,buah salak
sup molokhia,sop molokhia atawa mulukhiyah adalah makanan nang biasanya nangkaya makanan bakuah sop atawa gangan nang diulah matan daun molokhia atawa yute,GAP,
nasi itik gambut,nasi itik nang dibumbui bumbu habang,GAP,
gangan asam baung,sayur asam yang ditambahi ikan baung,GAP,
apam gula habang,apam gula habang adalah salah sabuting janis matan wadai apam apam gula habang marupakan wadai tradisiunal indunisia nang kawa ditamui di kalimantan selatan lampung wan jawa tengah wadai ngini diulah matan bahan bahan nang kaya galapung baras nyiur baparut wan gula habang wadai ngini baisi tekstur nang kanyul wan lamah paulahan wadai ngini ialah dikukus atawa dipanggang,apam gula habang,"kue tradisional yang terbuat dari campuran tepung, gula merah dan air, kemudian dikukus hingga matang"
sayur kambang tigarun,lalapan matan kambang tigarun,GAP,
sarawa pisang,sarawa matan pisang,GAP,
bosna sosis,bosna kadang disambat bosner adalah makanan lakas jadi austria nang diduga baasal matan salzburg atawa linz makanan ngini wayah ini tarkanal di austria barat wan bayern salatan,GAP,
buras,"pangan nang diulah matan baras nang cara pembuatannya seperti arem-arem tetapi berbentuk segi empat, tiap dua biji buras dililit menggunakan tali lalu direbus hingga matang dimakan dengan sambal khusus",buras,"makanan yg dibuat dr beras dibungkus dng daun pisang, kemudian dikukus sampai matang"
jalai,sejenis tanaman gandum/padi berbuah sebesar biji jagung,GAP,
sasawi,"sayuran, berdaun melebar, pinggir daun bercuping bergelombang, berwarna hijau pucat, dengan tulang dan tangkai melebar",GAP,
kaminting,kaminting atawa aleurites moluccana adalah ngaran tanaman nang biginya dipakai gasan minyak wan rarampah tanaman ngini masih bakulaan lawan gumbili wan tamasuk dalam suku euphorbiaceae atawa tanaman bagatah,GAP,
kararaban,"kuih talam nang berwarna agak kecoklatan karena berbahan dasar tepung baras dan gula merah, (tetapi berbintik-bintik hitam seperti pasir hitam atau seperti debu lawa-lawa)",GAP,
kundur,tatanaman malancar nang ditanam lantaran buahnya nang sadang ganalnya,GAP,
gangan tuha,sayur berkuah dengan berbagai bumbu/rempah-rempah,kuah santan kuning,sayur kuah yang berbahan dasar dan santan berwarna kuning.
akar pinang,wadai karing nang tiba matan bubuhan urang Betawi wan sakitarannya,GAP,
garigit,garigit adalah salah sabuting wadai tradisiunal matan indunisia nang tiba kalimantan selatan tagal kawa jua ditamui di kabupatin tana tidung kalimantan utara wadai garigit tamasuk ka dalam wadai karing bahari nang biasanya disurungi ka urang sawagai papuluran gasan santai atawa sajian gasan tamu rahatan hari raya pitrah,GAP,
ulatih,ulatih adalah janis makanan tumatan bigian serealia nang dipanasakan sampai malarak ulatih liwar rancak diulah matan bigi jagung dipinandui sawagai popcorn tagal kawa jua diulah matan babarapa serealias lain nang kaya banih gabah atawa nasi karing wan bayam bigi amaranthus ulatih nang diulah matan nasi karing dicitak babantuk pasagi wan dibari pamanis rancaknya disambat bipang,GAP,
dodol kandangan,dodol kandangan adalah makanan has paruduksi masarakat kandangan hulu sungai selatan kalimantan selatan sacara turun tamurun bahan tatambaian paulahan kitihan ngini adalah baras lakatan wan gula habang dodol kandangan banyak dikamas sacara sadarhana lawan rasa nang manis banar iann news,dodol kandangan,"Dodol Kandangan adalah makanan khas produksi masyarakat Kandangan, Hulu Sungai Selatan, Kalimantan Selatan, secara turun temurun. Bahan utama pembuatan penganan ini adalah beras ketan dan gula aren."
kulur,kulur atawa sukun artocarpus altilis adalah ngaran puhun nang babuah buah kulur kada babiji lawan baisi bagian nang hapuk nang mahirip ruti imbahnya dimasak atawa disanga marga ngintu bubuhan urang eropa maminanduinya sawagai buah ruti,GAP,
barakat,"berkat, makanan nang dibawa pulang sehabis kenduri",barakat,makanan yang di bawa pulang setelah selamatan
sumangka,sumangka adalah ngaran tanaman buah sakali tanam nang tamasuk ka dalam kaluarga cucurbitaceae jadinya masih baisiian hubungan kulaan duwa melon bilungka waluh sayur waluh banyu wan waluh tanaman ngini asalnya matan sudan afrika lalu imbah ngitu maucir ka samunyaan wilayah tanaman sumangka ngini tamasuk ka kalumpuk nang lain pada nang lain maraga akarnya malayap di atas tanah haja duwa kulimbit buahnya nang baisi balang kaya curitan wan daging buahnya nang habang,semangka,"tumbuhan menjalar, buahnya bulat dan besar, daging buahnya berwarna kuning, atau merah banyak mengandung air dan manis"
wadai palapah,wadai palapah atawa nang dipinandui sawagai wafer dalam basa indunisia adalah ngaran wadai nang ranyah bantukannya parsagi panjang balapis duwa banyak rasanya wadai palapis ngini diulah matan gandum duwa hintalu,GAP,
sasumapan,kuih nang masak dengan dikukus,GAP,
durian habang,durian nang warnanya habang,durian lahung,Daging buahnya berwarna merah segar. Lahung yang kadang juga disebut sebagai durian merah ini memiliki nama latin durio graviolens.
jaruk,asinan,asinan,buah yang diasinkan
timpakul,timpakul adalah sakalumpuk iwak matan babarapa marga nang tamasuk ka dalam anak suku oxudercinae iwak ngini katuju banar baluncatan ka daratan tautama di dairah balumpur licak atawa babanyu dangkal di sakitar hutan bakau sawayah banyu surut ngaran ngaran lainnya adalah tembakul gelodok gabus laut lunjat dan lain lain dalam bahasa inggris disambat mudskipper marga kabiasaannya baluncatan di lumpur itu,timpakul,ikan yang sering lompat lompat ketika di tangkap
karupuk cingur,karupuk nang diulah matan kulit sapi,GAP,
alua kundur,alua matan buah kundur,GAP,
mundar,"buah berbentuk bulat seukuran bola pingpong, kulit tebal, berwarna merah terang, jika matang kulit lebih lunak, isi putih seperti manggis tetapi hanya memiliki satu biji, dan rasanya manis jika matang",GAP,
balimbing tunjuk,"buah nang masam, rancak dipakai gasan bumbu masakan wan campuran jamu",balimbing tunjuk; belimbing,buah yang asam sering di gunakan buat gangan asam
lok lok,makanan nang tadiri matan daging wan sayuran nang disurungakan lawan tutusuk sate,GAP,
habang banjar,bumbu has Banjar nang bewarna habang,habang banjar,bumbu khas banjar yang bewarna merah
nginuman,barang nang kawa dinginum,minuman,barang yang diminum
kacang batampik,makanan nang diulah matan kacang nang dicampur lawan galapung baadun hintalu nang sudah bacampur bumbu nang kaya uyah wan gula,GAP,
lapis india,wadai manis nang dari gula merah,lapis india,kue manis yang terbuat dari gula merah
maharawin,maharawin adalah salah satu macam buah nang ada di padalaman kalimantan maharawin adalah buah buahan asli matan indonesia maharawin mungkin buah nang ngarannya asing untuk kabanyakan urang maharawin jua dikatahui lawan sabutan durio oxleyanus griff,GAP,
marat,makanan nang sudah kada nyaman rasanya,GAP,
gipang,"makanan nang diulah matan jagung, baras atau talipuk, berondong",GAP,
matoa,buah matan tumbuhan kayu khas Papua nang tamasuk dalam kalumpuk Sapindaceaea,GAP,
jus kanas,jus nang terbuat matan kanas,jus nanas,sari buah nanas
sawit,sawit adalah tumbuhan nang rancak ditanam urang sagan diambil minyaknya sawit ngini sabujurnya ada dua macam nang rancak ditanam urang yakni elaeis guineensis elaeis oleifera wan elaeis odora walaupun asalnya matan aprika barat atawa matan amirika latin manurut sabahagian pandapat urang sawit tumbuh subur di malaysia indunisia thailand wan papua nugini,sawit,sawit tumbuhan yang memiliki kandungan minyak
bangkinang,"buah yang bentuknya mirip dengan buah melinjo, berwarna kuning jika mentah dan merah jika matang, daging buah kuning dengan rasa sepat manis",GAP,
tangkawang,nama pohon nang buahnya dijadikan bahan makanan,GAP,
wadai gayam,wadai khas Banjar matan tepung ketan,GAP,
limau madang,"limau has Desa Sungai Madang, Kabupaten Banjar",limau madang,jeruk yang memiliki rasa manis
katuyung,semacam kerang air tawar berukuran kecil dan berbentuk panjang,GAP,
