Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
"be, live","have life, be alive",زندگی کردن,داشتن زندگی و زنده بودن
wood,the hard fibrous lignified substance under the bark of trees,چوب,ماده الیافی سخت که زیر پوست درختان قرار دارد و ریشه و ساقه و شاخه درخت از جنس آن هستند
like,find enjoyable or agreeable,"دوست داشتن، علاقه داشتن",دوست داشتن یا هم‌نظر بودن
"tinkle, tink, clink, chink",make or emit a high sound,"زنگ زدن، جلنگ جلنگ کردن",تولید یا انتشار صدایی بلند از زنگ
"stove, kitchen stove, range, kitchen range, cooking stove",a kitchen appliance used for cooking food,"اجاق گاز، اجاق",یک وسیله آشپزخانه که برای پختن استفاده می‌شود
duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,اردک,پرنده‌ای کوچک شناگر که هم می‌تواند وحشی هم اهلی باشد منقار پهنی دارد و و پاهای کوچکی دارد و پنجه‌هایی دارد که توسط غشائی به یکدیگر متصل‌اند
"board, plank",a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,تخته,یک چوب اره شده طویل ضخیم; در اندازه‌های مختلف ساخته شده و برای اهداف بسیاری استفاده می‌شود
kick,strike with the foot,"لگد زدن، با پا زدن",ضربه زدن با پا
"fear, dread",be afraid or scared of; be frightened of,"ترسیدن، حراسیدن، وحشت داشتن، خوف کردن",نگران بودن و ترسیدن از چیزی
ladder,steps consisting of two parallel members connected by rungs; for climbing up or down,نردبان,پله‌های که به فاصله‌های معین در میان دو عضو موازی قرار دارند و به آن‌ها متصل شده اند; از آن جهت بالا یا پایین رفتن از ارتفاع استفاده می‌شود
fear,be afraid or feel anxious or apprehensive about a possible or probable situation or event,"ترسیدن، هراس داشتن، وحشت داشتن، بیم داشتن، خوف داشتن",احساس ترس یا استرس یا دلهره یا اضطراب از یک موقعیت یا رویداد احتمالی
"strap, shoulder strap",a band that goes over the shoulder and supports a garment or bag,بند شانه‌ای,بندی که مانند کمربند است اما از روی شانه می‌رود و یک لباس یا کیف را نگه می‌دارد
"change, alter, vary","make or become different in some particular way, without permanently losing one's or its former characteristics or essence","تغییر دادن، عوض کردن",متفاوت کردن به شکلی خاص بدون از دست دادن دائمی خصوصیات و ماهیت اصلی خود
through,in diameter,gap,اندازه قطری
"foam, froth",a mass of small bubbles formed in or on a liquid,کف,توده‌ای از حباب‌های کوچک که درون یا روی یک مایع قرار دارند
wool,fiber sheared from animals (such as sheep) and twisted into yarn for weaving,پشم,الیاف بریده شده از روی پوست حیوانات (مانند گوسفند و شتر) که برای بافتن استفاده می‌شود
"food, solid food",any solid substance (as opposed to liquid) that is used as a source of nourishment,"غذا، خوراکی، طعام",هر ماده جامدی (و غیر مایع‌ای) که به عنوان منبع تغذیه استفاده می‌شود
tomorrow,"the next day, the day after, following the present day",فردا,"فردا، روز بعد،"
"change, alter, modify",cause to change; make different; cause a transformation,"تغییر دادن، عوض کردن، دگرگون ساختن",باعث متفاوت شدن چیزی شدن
dish,a particular item of prepared food,gap,یک غذای آماده شده
"character, grapheme, graphic symbol",a written symbol that is used to represent speech,حرف,نماد نوشتاری‌ای که برای نشان دادن گفتار استفاده می‌شود
"recognize, recognise, distinguish, discern, pick out, make out, tell apart",detect with the senses,"شناختن، تشخیص دادن",با چشم‌ها شناسایی کردن
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,"داغ، گرم",دارای گرما از لحاظ فیزیکی; دارای دمای بالا یا بالاتر از حد مطلوب; ایجاد یا احساس گرما یا گرم شدن یا سوختن یا سوزش
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,قابلمه,ظرفی فلزی یا سفالی که معمولا گرد و عمیق است و برای پختن استفاده می‌شود; معمولا دسته و دربی دارد
"taste, savor, savour",have flavor; taste of something,"چشیدن، مزه کردن",تجربه کردن طعم یک چیز
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,دکمه,یک چفت گرد دوخته شده به پیراهن‌ها و کت‌ها و غیره جهت وارد شدن به سوراخ مخصوص دکمه ها و بسته شدن لباس
memory,something that is remembered,"خاطره، یاد",چیزی که در خاطر می‌ماند
"string, twine",a lightweight cord,"ریسمان، تخ",یک طناب سبک وزن
"rain, rainfall",water falling in drops from vapor condensed in the atmosphere,"باران، بارندگی",آبی که از بخار متراکم در جو به‌صورت قطره‌ای می‌ریزد
"annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","cause annoyance in; disturb, especially by minor irritations","اذیت کردن، رنجاندن","باعث آزار شدن; مشوش کردن، به ویژه در اثر اذیت‌های کوچک"
pouch,a small or medium size container for holding or carrying things,gap,کیف کوچک
write,communicate or express by writing,gap,
"fever, febrility, febricity, pyrexia, feverishness",a rise in the temperature of the body; frequently a symptom of infection,تب,افزایش دمای بدن; معمولا نشانه عفونت است
"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,مورچه,حشراتی اجتماعی که در گروه‌هایی سازمان یافته زندگی می‌کنند. نرها و ملکه بارور در طول فصل جفت‌گیری دارای بال هستند و بال‌های جنس ماده آن پس از جفت‌گیری می‌افتند; ماده‌های عقیم بدون بال کارگر هستند
leather,an animal skin made smooth and flexible by removing the hair and then tanning,چرم,"نوعی پوست حیوان که پس از برداشتن موهای آن و برنده کردن، نرم و انعطاف‌پذیر می‌شود"
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,غاز,پرنده‌ای آبزی و اجتماعی که پنجه‌هایش با غشائی به یکدیگر متصل گشته‌اند و گردنی دراز دارد و در طول سال مهاجرت می‌کند و معمولا از اردک‌ها کمتر آبزی است اما از آن‌ها بزرگتر است
cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,سرد,"دارای سرما از لحاظ فیزیکی; دارای دمای پایین یا پایینتر از حد مطلوب یا احساس سرما یا سرد شدن به وسیله چیزی سرد، مانند یخ یا یخچال"
"gather, garner, collect, pull together",assemble or get together,"جمع کردن، جمع آوری کردن، گرد آوری کردن",یک جا بردن تعدادی چیز یا شخص
give,transfer possession of something concrete or abstract to somebody,"دادن، بخشیدن، اهدا کردن، عطاء کردن",انتقال مالکیت چیزی چه به شکل مادی چه به شکل حقوقی
shadow,shade within clear boundaries,سایه,تیرگی و نبود نور که در مرزهای مشخصی دارد
call,a request,gap,خواهش کردن برای چیزی
"under, below",further down,"زیر، تحت، پایین",متضاد بالا و رو; پایین‌تر
hole,an opening into or through something,"سوراخ، حفره، گودال، چال",دهانه‌ای به درون چیزی
"keep, hold on",retain possession of,"نگه داشتن، حفظ کردن",از دست ندادن مالکیت
"happiness, felicity",state of well-being characterized by emotions ranging from contentment to intense joy,"خوشحالی، شادی، خوشبختی",حالت خوشی که با احساساتی از رضایت تا شادی شدید متغیر است
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,قو,پرنده‌ای آبزی با جثه‌ای سنگین و گردن بسیار بلند که معمولا در بزرگسالی پر و بال‌های زیبای سفیدی دارد
"own, have, possess",have ownership or possession of,"داشتن، دارا بودن، مالک بودن، صاحب بودن",تملک داشتن و در اختیار داشتن
turn out,prove to be in the result or end,"معلوم شدن، مشخص شدن",نتیجه‌ای که برملا و آشکار شده است
"snow, snowfall",precipitation falling from clouds in the form of ice crystals,"برف، بارش برف",بارشی از ابرها که به شکل کریستال‌های یخ می‌ریزد
"buy, purchase",obtain by purchase; acquire by means of a financial transaction,خریدن,به دست آوردن به واسطه خرید; به دست آوردن از طریق یک تراکنش مالی
"become, go, get",enter or assume a certain state or condition,"شدن، رفتن",وارد شدن یا تبدیل شدن به یک حالت یا شرایط خاص
wait,stay in one place and anticipate or expect something,"صبر کردن، انتظار کشیدن",ماندن در یک مکان در انتظار و چشم داشت یک چیز
"fail, betray","disappoint, prove undependable to; abandon, forsake",ناامید کردن,ثابت کردن غیرقابل اعتماد بودن; رها کردن
book,a written work or composition that has been published (printed on pages bound together),کتاب,یک اثر مکتوب یا چاپ شده که منتشر شده است (در صفحاتی که به یکدیگر متصل‌اند منتشر شده است)
"decrease, diminish, lessen, fall","decrease in size, extent, or range","کم شدن، تقلیل یافتن، افت کردن، کاهش یافتن","کم‌تر شدن از لحاظ اندازه، وسعت یا محدوده"
"receive, have",get something; come into possession of,"دریافت کردن، گرفتن",در اختیار گرفتن یک چیز
"get, acquire",come into the possession of something concrete or abstract,گرفتن,داشتن چیزی فیزیکی یا استعاری
island,a land mass (smaller than a continent) that is surrounded by water,جزیره,یک توده خشکی (کوچکتر از یک قاره) که توسط آب احاطه شده است
"husband, hubby, married man",a married man; a woman's partner in marriage,شوهر,یک مرد متاهل; شریک زندگی یک زن به واسطه ازدواج
"area, expanse, surface area",the extent of a 2-dimensional surface enclosed within a boundary,"مساحت، وسعت، پهنا",مقدار یک سطح دو بعدی محصور در یک مرز
"meal, repast",the food served and eaten at one time,وعده غذایی,غذایی که در یک زمان سرو و خورده می‌شود
length,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place,طول,وسعت خطی در فضا از یک سر تا سری دیگر; طولانی‌ترین بعد افقی یک چیز
"distance, length",size of the gap between two places,"فاصله، مسافت",اندازه فاصله بین دو مکان
"head, caput",the upper part of the human body or the front part of the body in animals; contains the face and brains,سر,قسمت بالای بدن انسان یا قسمت جلوی بدن حیوانات; شامل صورت و مغز می‌شود
shake,bring to a specified condition by or as if by shaking,gap,
"wipe, pass over",rub with a circular motion,gap,مالیدن در یک حرکت دایره‌ای
lake,a body of (usually fresh) water surrounded by land,دریاچه,مجموعه‌ای از آب (معمولا شیرین) که توسط خشکی احاطه شده است
ash,the residue that remains when something is burned,خاکستر,ته‌مانده‌ای که پس از سوختن چیزی باقی می‌ماند
increase,become bigger or greater in amount,"افزایش دادن، زیاد شدن",بزرگتر یا بیشتر شدن از لحاظ مقدار
"land, ground, soil",material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),"زمین، خاک",مواد لایه بالایی سطح زمین که گیاهان می‌توانند روی آن رشد کنند (معمولا برای اشاره به کیفیت یا استفاده از آن به کار می‌رود)
sweep,clean by sweeping,جارو کشیدن,تمیز کردن با استفاده از جارو
"sweep, broom",sweep with a broom or as if with a broom,"جارو زدن، جارو کردن",با جارو پاک کردن
"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal,افسار,طناب یا زنجیری سبک که برای هدایت و کنترل یک حیوان استفاده می‌شود
hungry,feeling hunger; feeling a need or desire to eat food,گرسنه,دارای احساس گرسنگی; احساس یک نیاز یا تمایش به خوردن غذا
strong,having strength or power greater than average or expected,قوی,دارای قدرتی بیشتر از حد متوسط یا بیشتر از حد انتظار
jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth,"فک، آرواره",بخشی از جمجمه مهره‌داران که محل قرارگیری دندان‌ها است و به دهان شکل می‌دهد
"height, tallness",the vertical dimension of extension; distance from the base of something to the top,"قد، ارتفاع، بلندی",فاصله بالای یک چیز تا پایین آن; اندازه یک چیز از بعد عمودی
mainland,the main land mass of a country or continent; as distinguished from an island or peninsula,gap,توده زمین اصلی یک کشور یا قاره; بدون احتساب جزایر یا شبه جزایر اطراف آن
"neck, cervix",the part of an organism that connects the head to the rest of the body,گردن,بخشی از موجود زنده که سرش را به باقی بدنش متصل می‌کند
today,on this day as distinct from yesterday or tomorrow,امروز,در همین روز و متفاوت از دیروز و فردا و روزهای دیگر
weak,having little physical or spiritual strength,"ضعیف، ناتوان، عاجز، سست",دارای قدرت جسمی یا روحی کم
beat,hit repeatedly,کوبیدن,پشت هم ضربه زدن
"allege, aver, say",report or maintain,"ادعا کردن، اظهار کردن، گفتن",گزارش کردن و مدعی بودن
"nape, scruff, nucha",the back side of the neck,gap,بخش پشتی گردن
"dwell, live, inhabit",inhabit or live in,"ساکن بودن، اقامت کردن، زندگی کردن، زیستن",منزل کردن و سکون کردن
"throat, pharynx",the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,"گلو، حلق، حلقوم",مسیر به سوی معده و ریه‌ها; در قسمت جلویی گردن زیر چانه و بالای استخوان ترقوه
"flat, level, plane","having a surface without slope, tilt in which no part is higher or lower than another","صاف، مسطح، هموار، تخت",بدون شیب و طوری که هیچ قسمتی بالا‌تر یا پایین‌تر از دیگری نباشد
support,supporting structure that holds up or provides a foundation,تکیه‌گاه,ساختاری جهت نگه‌داری و تکیه کردن و تقویت چیزی
gift,something acquired without compensation,هدیه,چیزی که بدون هزینه و با میل طرف مقابل به دست آمده
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,سوپ,غذای مایع معمولا حاوی گوشت یا ماهی یا سبزیجات و اغلب حاوی تکه‌های غذای جامد
herd,"keep, move, or drive animals","گله‌داری کردن، چوپانی کردن","نگه‌داری، مراقبت و جا به جایی حیوانات"
shoulder,the part of the body between the neck and the upper arm,"شانه، دوش، کتف",قسمتی از بدن که میان گردن و بازو قرار دارد
"fabric, cloth, material, textile",artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,پارچه,محصولی که با بافتن یا نمد یا قلاب بافی الیاف طبیعی یا مصنوعی ساخته شده است
"benefit, welfare",something that aids or promotes well-being,"سود، منفعت، مزیت، فایده",چیزی که ایجاد رفاه می‌شود یا که آن‌ها را ارتقا می‌دهد
"weather, weather condition, atmospheric condition",the meteorological conditions: temperature and wind and clouds and precipitation,"آب و هوا، شرایط جوی",شرایط هواشناسی: دما و باد و ابر و بارش
lid,a movable top or cover (hinged or separate) for closing the opening of a container,"درب، در، سرپوش، دریچه",یک رویه یا پوشش متحرک (وصل یا جدا از خود جسم) برای بستن ورودی یک نگه‌دارنده (مثلا جعبه)
"wind, air current, current of air",air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,"باد، جریان هوا",حرکت کردن هوا (گاهی با شدت) از یک منطقه با فشار زیاد به یک منطقه با فشار کم
"thorax, chest, pectus",the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,"سینه، قفسه سینه، صدر",قسمت بین گردن و دیافراگم در تنه انسان و مهره‌داران
cap,a tight-fitting headdress,gap,نوعی کلاه محکم و لبه‌دار
"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,"دشت، مرتع",زمین باز و پهناور و هموار معمولا پوشیده شده از خزه و علف
"breast, bosom, knocker, boob, tit, titty",either of two soft fleshy milk-secreting glandular organs on the chest of a woman,"سینه، ممه",یکی از دو اندام غده‌ای نرم گوشتی ترشح‌کننده شیر که بر روی قفسه سینه زنان قرار دارد
"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,کوه,زمینی که از محیط اطراف خود بلندتر و بالاتراست; بلندتر از یک تپه
"pass, hand, reach, pass on, turn over, give",place into the hands or custody of,"دادن، تحویل دادن",در دستان یا حضانت دیگری قرار دادن
"navel, umbilicus, bellybutton, omphalos, omphalus",scar where the umbilical cord was attached,ناف,سوراخ کوچک وگودی که روی شکم انسان است که منتهای روده است و هنگام متولد شدن بچه بند ناف از آن آویزان است و آن را می‌برند
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,پرنده,مهره‌داران تخم‌گذار خون‌گرمی که پرها و اندام‌های جلویی آن‌ها به شکل بال است
"abdomen, venter, stomach, belly",the region of the body of a vertebrate between the thorax and the pelvis,شکم,ناحیه‌ای از بدن مهره‌داران که بین قفسه سینه و لگن قرار دارد
old,of long duration; not new,قدیمی,دارای قدمت زیاد و طولانی; متضاد جدید
"natural elevation, elevation",a raised or elevated geological formation,ارتفاعات,یک بخش مرتفع به‌طور طبیعی
"back, dorsum",the posterior part of a human (or animal) body from the neck to the end of the spine,پشت,قسمت عقبی بدن انسان (یا حیوان) که از گردن تا انتهای ستون فقرات ادامه دارد
"wish, wish well",feel or express a desire or hope concerning the future or fortune of,"آرزو کردن، آرزو داشتن",احساس یا ابراز تمایل یا امید درباره آینده یا شانس
"name, call",assign a specified (usually proper) proper name to,"اسم گذاشتن، نام‌گذاری کردن",یک نام خاص (و معمولا مناسب) به کسی یا چیزی اختصاص دادن
nest,a structure in which animals lay eggs or give birth to their young,لانه,ساختاری که در آن حیوانات تخم می‌گذارند و یا بچه‌های خود را به دنیا می‌آورند
"desire, want",feel or have a desire for; want strongly,"خواست، دل خواستن",احساس تمایل به چیزی; خواستن به شدت
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,"جدید، تازه، نو",دارای قدمت کوتاه; تازه (یا به نسبت اخیرا) به وجود آمده یا ساخته شده یا کشف شده
leg,a structure in animals that is similar to a human leg and used for locomotion,پا,ساختاری در حیوانات که شبیه پای انسان است و جهت حرکت استفاده می‌شود
"mail, post, send",cause to be directed or transmitted to another place,"ارسال کردن، فرستادن، پست کردن",باعث و بانی هدایت یا ارسال به یک مکان دیگر شدن
thigh,the part of the leg between the hip and the knee,ران,بخشی از پا که بین زانو و باسن قرار دارد
"fairytale, fairy tale, fairy story",a story about fairies; told to amuse children,"افسانه، داستان پریان",داستانی غیرواقعی و تخیلی; معمولا جهت سرگرم کردن کودکان گفته می‌شود
"hide, pelt, skin",body covering of a living animal,پوست,غشائی گسترده بر روی تن آدمی و دیگر حیوانات که بدن آن‌ها را می‌پوشاند
"foot, human foot, pes",the part of the leg of a human being below the ankle joint,gap,بخش زیر ساق پا
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,بازو,یکی از اندام‌های انسان که درواقع بخشی از اندام فوقانی بین شانه و آرنج قرار دارد اما معمولا برای اشراه به کل اندام فوقانی استفاده می‌شود
"feather, plume, plumage",the light horny waterproof structure forming the external covering of birds,پر,ساختاری ضد آب و شاخ مانند و سبک که پوشش خارجی پرندگان را تشکیل می‌دهد
"cargo, lading, freight, load, loading, payload, shipment, consignment",goods carried by a large vehicle,"محموله، بار",کالاهایی که توسط یک وسیله نقلیه بزرگ حمل می‌شوند
knock,rap with the knuckles,در زدن,ضربه بر روی به‌صورتی که صدایش درآید و حضور شما را اطلاع دهد
old,(used especially of persons) having lived for a relatively long time or attained a specific age,"پیر، مسن، سالخورده",(معمولا برای افراد به کار می‌رود) چیزی یا کسی که برای مدت نسبتا طولانی‌‌ای زندگی کرده باشد یا به سن خاصی رسیده باشد
"hand, manus, mitt, paw",the (prehensile) extremity of the superior limb,دست,بخش انتهایی اندام بالایی که می‌تواند چیزی را بگیرد
"palm, thenar",the inner surface of the hand from the wrist to the base of the fingers,کف دست,سطح داخلی دست از مچ تا انگشتان
"opening, gap",an open or empty space in or between things,"فضای خالی، شکاف، روزنه",فضای خالی یا باز در داخل یا میان چیزها
finger,any of the terminal members of the hand (sometimes excepting the thumb),انگشت,هر یک از اعضای انتهایی دست یا پا
yesterday,on the day preceding today,دیروز,روز قبل از امروز
sell,exchange or deliver for money or its equivalent,فروختن,مبادله یا تحویل دادن به ازای پول یا چیزی معادل آن
behind,in or to or toward the rear,"پشت سر، پشت، عقب",داخل یا به سمت مخالف جلو
"fence, fencing",a barrier that serves to enclose an area,"حصار، پرچین، نرده",مانعی که برای محصور کردن یک منطقه ایجاد شده است
add,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of","اضافه کردن، افزودن، جمع کردن، ضمیمه کردن، زیادتر کردن، الحاق کردن","ملحق کردن به چیزی: پیوست دادن یا ترکیب کردن یا یکی کردن با چیزهای دیگر; افزایش دادن کیفیت، کمیت، سایز یا محدوده"
"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day",time for Earth to make a complete rotation on its axis,"روز، بیست و چهار ساعت، ۲۴ ساعت",زمانی که طول می‌کشد تا زمین یک دور کامل حول محور خود بچرخد
"part, piece",a portion of a natural object,gap,بخشی از یک جسم طبیعی
"young, immature",(used of living things especially persons) in an early period of life or development or growth,"جوان، نابالغ",(برای موجودات زنده مخصوصا انسان‌ها به کار می‌رود) در دوره‌های اولیه زندگی یا رشد
"brother, blood brother",a male with the same parents as someone else,برادر,یک مذکر که والدین یکسانی با دیگری دارد
"chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chatter, chaffer, natter, gossip, jaw, claver, visit",talk socially without exchanging too much information,گپ زدن,صحبت اجتماعی بدون تبادل اطلاعات زیاد
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,میز,یک اثاثه دارای بالای صاف که معمولا توسط یک یا چند پایه عمودی نگه داشته شده است
"sleep, slumber",a natural and periodic state of rest during which consciousness of the world is suspended,خواب,یک حالت استراحت طبیعی و دوره‌ای که در طی آن آگاهی از جهان متوقف می‌شود
"travel, go, move, locomote","change location; move, travel, or proceed","سفر کردن، رفتن، حرکت کردن",
"surviving, living",still in existence,"زنده، بازمانده",چیزی که هنوز وجود دارد
understand,know and comprehend the nature or meaning of,"درک کردن، فهمیدن، متوجه شدن",شناختن ماهیت و معنای یک چیز
"pit, cavity",a sizeable hole (usually in the ground),"گودال، حفره، چاله، چال",یک سوراخ بزرگ (معمولا روی زمین)
whistle,utter or express by whistling,سوت زدن,بیان کردن یا ابراز کردن به وسیله سوت
laughter,the activity of laughing; the manifestation of joy or mirth or scorn,خنده,خندیدن; نشانه شادی و و نشاط یا تمسخر
"knee, knee joint, human knee, articulatio genus, genu",hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,زانو,مفصلی که در پای انسان استخوان بخش ران را به بخش پایین‌تر پا(درشت نی را به نازک نی) متصل می‌کند و در جلو توسط استخوان کشکک محافظت می‌شود
"understand, read, interpret, translate",make sense of a language,"فهمیدن، خواندن، ترجمه کردن، معنا کردن",فهمیدن معنای یک زبان
precipice,a very steep cliff,پرتگاه,صخره‌ای بسیار شیب‌دار
pay,"give money, usually in exchange for goods or services",پرداختن,"دادن پول، معمولا در ازای کالا یا خدمات"
walk,the act of walking somewhere,"راه، قدم، پیاده‌روی",عمل راه رفتن به سمت جایی
"sunday, lord's day, dominicus, sun",first day of the week; observed as a day of rest and worship by most Christians,یکشنبه,دومین روز هفته
"groan, moan, sough","indicate pain, discomfort, or displeasure","ناله کردن، نالیدن","ابراز درد، ناراحتی یا نارضایتی"
"know, cognize, cognise",be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about,دانستن,از یک واقعیت یا اطلاعات خاصی آگاهی داشتن. داشتن دانش یا اطلاعات درمورد چیزی
"tuesday, tues",the third day of the week; the second working day,سه‌شنبه,چهارمین روز هفته
"roar, howl","make a loud noise, as of wind, water, or vehicles",gap,
"monday, mon",the second day of the week; the first working day,دوشنبه,سومین روز هفته
"discontinue, stop, cease, give up, quit, lay off",put an end to a state or an activity,"ادامه ندادن، متوقف ساختن، دست کشیدن، منصرف شدن، دست برداشتن، ول کن، بس کردن",پایان دادن به یک فعالیت
"open, unfastened",affording unobstructed entrance and exit; not shut or closed,"باز، گشاده",حالتی که اجازه ورود و خروج بدون مانع می‌دهد; متضاد بسته
"thursday, th",the fifth day of the week; the fourth working day,پنج‌شنبه,ششمین روز هفته
"pay, pay off, make up, compensate",do or give something to somebody in return,"جبران کردن، پاداش دادن","در ازای چیزی یا کار کسی، کار دیگری کردن یا چیز دیگری دادن"
"shut, unopen, closed",not open,بسته,متضاد باز
"wednesday, midweek, wed",the fourth day of the week; the third working day,چهارشنبه,پنجمین روز هفته
lock,a fastener fitted to a door or drawer to keep it firmly closed,قفل,چفتی که به یک در یا کشو برای محکم بسته شدن آن نصب شده است
"saturday, sabbatum, sat",the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,شنبه,اولین روز هفته
"friday, fri",the sixth day of the week; the fifth working day,جمعه,آخرین روز هفته که تعطیل نیز می‌باشد
thunder,to make or produce a loud noise,"غرش کردن، نعره زدن",ایجاد یا تولید صدای بلند
expensive,high in price or charging high prices,"گران، گران قیمت",قیمت یا هزینه زیاد و بالا
"noon, twelve noon, high noon, midday, noonday, noontide",the middle of the day,"ظهر، ۱۲ ظهر",وسط روز
"morning, morn, morning time, forenoon",the time period between dawn and noon,"صبح، بامداد، صبحدم، سحرگاه، پیش از ظهر",بازه زمانی میان سحر تا ظهر
"howl, wrawl, yammer, yowl","cry loudly, as of animals","زوزه کشیدن، عو عو کردن","فریاد گریه‌مانند با صدای بلند، مانند حیوانات"
"learn, larn, acquire",gain knowledge or skills,"یاد گرفتن، آموختن",کسب دانش یا مهارت
bark,make barking sounds,پارس کردن,صدای سگ درآوردن
rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,رنگین کمان,کمانی از نور رنگی در آسمان که بر اثر شکست پرتوهای خورشید توسط باران ایجاد می‌شود
toe,one of the digits of the foot,"پنجه، انگشت پا",یکی از بخش‌های جلویی پا
"cheap, inexpensive",relatively low in price or charging low prices,ارزان,با قیمت نسبتا پایین
"evening, eve, even, eventide",the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),"عصر، غروب",قسمت انتهای روز (دوره کاهش نور از اواخر روز تا تاریکی کامل)
"night, nighttime, dark",the time after sunset and before sunrise while it is dark outside,"شب، شب هنگام، تاریکی، شبانگاه",زمان بعد از غروب آفتاب و قبل از طلوع آفتاب در حالی که هوا تاریک است
heel,the back part of the human foot,پاشنه,بخش عقبی آن قسمت از پای انسان که هنگام راه رفتن بر روی زمین قرار می‌گیرد
milk,take milk from female mammals,دوشیدن,خارج کردن شیر از پستانداران ماده
"run, go, pass, lead, extend","stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point",gap,"در یک فاصله، مکان، زمان یا محدوده کشیده شدن و گسترش یافتن بین دو نقطه یا فراتر از یک نقطه خاص"
"go, go away, depart",move away from a place into another direction,"رفتن، رهسپار شدن، راهی شدن، روانه شدن، عازم شدن",از مکانی به سمت مکانی دیگر رفتن
"king, male monarch, rex",a male sovereign; ruler of a kingdom,"شاه، پادشاه، سلطان، شهریار",یک حاکم مذکر; حاکم یک منطقه
"elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti",hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,آرنج,مفصل لولا بین ساعد و بازو
"kiss, buss, osculate","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.","بوسیدن، ماچ کردن","تماس لب‌ها یا فشردن لب‌ها (روی دهان یا سایر اعضای بدن اشخاص یا حتی اشیاء) به عنوان ابراز علاقه، احوال‌پرسی و غیره"
"address, speech",the act of delivering a formal spoken communication to an audience,"نطق، سخنرانی",عمل ارائه یک ارتباط گفتاری رسمی به مخاطبان
"ribbon, thread",any long object resembling a thin line,gap,
"lick, lap",pass the tongue over,لیسیدن,زدن زبان به چیزی
"week, hebdomad",any period of seven consecutive days,هفته,هر بازه هفت روزه متوالی
nail,horny plate covering and protecting part of the dorsal surface of the digits,ناخن,صفحه‌ای استخوانی که بخشی از سطح پشتی انگشتان را پوشانده و از آن‌ها محافظت می‌کند
"hunger, hungriness",a physiological need for food; the consequence of food deprivation,"گرسنه، گرسنگی",یک نیاز فیزیولوژیکی برای خوردن غذا; حسی که درصورت نخوردن غذا برای انسان به وجود می‌آید
river,a large natural stream of water (larger than a creek),"رود، رودخانه",جریان طولانی‌ای از آب (طولانی‌تر از نهر)
"rock, stone",a lump or mass of hard consolidated mineral matter,سنگ,توده‌ای از مواد سخت و محکم معدنی
donate,give to a charity or good cause,اهدا کردن,دادن چیزی با هدفی خوب به یک جا مانند خیریه
fingernail,the nail at the end of a finger,ناخن,استخوان نازک روی سرانگشت دست و پا
beautiful,delighting the senses or exciting intellectual or emotional admiration,"زیبا، قشنگ، خوشگل",چیزی که با دیدن آن احساس لذت یا تحسین می‌کنیم
"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured",pleasing in appearance especially by reason of conformity to ideals of form and proportion,"خوش قیافه، خوش تیپ","خوشایند از نظر ظاهری، به خصوص به دلیل انطباق با ایده‌آل‌های شکل و تناسب"
