Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
delikates,"makanan istimewa yg langsung dapat dimakan, terutama yg mengandung daging",GAP,
bawang benggala,bawang besar (Allium cepa),GAP,
kue satu,"kue yang dibuat dari tepung kacang hijau dan gula yang dicetak satu-satu dan dijemur hingga padat, bertekstur keras, berwarna putih, dan rasanya manis gurih",wadai satu,"kue tradisional nang terbuat dari tepung kacang hijau, gula, dan air, yang dicetak dan dipanggang hingga kering"
es buah hunkue,"minuman terbuat dari campuran hunkue dan setup buah, dibubuhi es",GAP,
gula tarik,penganan yang dibuat dari gula,GAP,
kacang anoa,"kacang yang polongnya mempunyai lukisan urat yang agak nyata, kulit biji berwarna merah jambu, daging biji mengandung protein dan lemak",kacang anoa,
telur orak-arik,"lauk, dibuat dari telur kocok, dimasak dengan minyak atau mentega, kemudian diorak-arik hingga matang, biasanya disajikan dengan taburan garam dan lada hitam",hintalu orak arik,intalu nang digoreng diaduk aduk sampai hancur kada babantuk
bakso rusuk,bakso berukuran besar berisi tulang rusuk sapi,GAP,
tahu guling,"makanan terbuat dari tahu goreng, toge, dan kol ditambah sambal kecap dan kacang goreng, ditaburi bawang goreng",tahu guling,"tahu goreng yang disajikan dengan sayuran tauge, kol, dan timun, kemudian disiram dengan kuah kacang dan sedikit manis"
asparagus,"tumbuhan Liliaceae, ujung akar tunggalnya (rebung) dibuat sayur, terutama yang belum terkena sinar matahari, berwarna putih, lunak, dan gemuk; asperses; sepersi; akar parsi (Asparagus officinalis)",GAP,
tempe kacang,tempe yang dibuat dari bungkil kacang tanah,GAP,
ikan tuna sirip biru,"tuna berukuran besar, panjang mencapai 4,3 m, dapat berbobot 816 kg (Thunna thynnus)",GAP,
panekuk kentang,"panekuk yang terbuat dari kentang parut, telur, tepung, dan bumbu, kemudian digoreng",panekuk kentang,"makanan ringan atau camilan yang dibuat dari adonan kentang yang diparut, dicampur dengan bahan lainnya, dan kemudian digoreng hingga kecokelatan."
es sekoteng,"minuman terbuat dari sekoteng, dicampur dengan pacar cina, kacang hijau, kolang-kaling, roti, kacang tanah, serutan es, disiram dengan sirop",GAP,
sup krim,"sup dengan kuah yang kental, rasa yang gurih, biasanya menggunakan daging, jagung, jamur, atau keju sebagai bahan campurannya",GAP,
cendol,"penganan yg dibuat dr tepung beras dsb yg dibentuk dng saringan, kemudian dicampur dng air gula dan santan (untuk minuman)",cendol,Minuman warna hijau dibari santan wan gula habang
tahu bacem,tahu yang dimasak dengan cara dibacem,tahu bacem,tahu nang dibacem
unti,"kelapa parut yg dicampur dng gula putih atau merah yg dimasak dan diberi daun pandan, atau panili, dibuat sbg isi penganan, spt mendut, kue bugis, dadar gulung",unti,penganan manis yang terbuat dari kelapa parut dan gula merah
ikan layur,"ikan laut yang panjangnya mencapai 234 cm, badannya tipis memanjang, tidak terdapat gigi taring yang menonjol ke depan di rahang atas, duri sirip pertama kecil, panjangnya kurang dari diameter pupil, tidak ada celah di sisi ventral rahang bawah, badan berwarna biru keperakan, sirip dada semi transparan, sirip yang lain kadang-kadang bersemburat kuning, hidup di dasar perairan tropis dengan kedalaman 0-400 m, tersebar di perairan sirkumglobal di daerah tropis dan s",iwak layur,"jenis ikan laut yang sering ditemukan di perairan Kalimantan Selatan dan dikenal dengan bentuk tubuhnya yang panjang, ramping, dan pipih serta memiliki warna keperakan"
kerupuk palembang,"kerupuk yang dibuat dari adonan agak encer, dimasukkan ke dalam air mendidih melalui tapisan berlubang untuk memperoleh bentuk seperti kawat, kemudian dijemur dengan ukuran dan bentuk tertentu",GAP,
kermanici,nama lauk dibuat dr daging sapi atau babi,GAP,
terung,"perdu, batang dan daunnya berbulu, bunganya berwarn biru, buah, ukuran, dan warnanya bervariasi, dimanfaatkan sbg sayuran tua-tua",terung; terong,"tanaman sayuran yang buahnya berbentuk lonjong atau bulat, dengan kulit berwarna ungu"
air kelapa,air yang berasal dari dalam buah kelapa,GAP,
susu,"bahan minuman, berupa cairan atau bubuk",susu,minuman nang barasal dari hewan atau berupa bubuk
kaneloni,"pasta, berbentuk pipa, direbus, dan diisi dengan daging atau yang lain, diberi saus, lalu dipanggang",GAP,
mundu,"pohon, buahnya bisa dimakan, rasanya masam, kulitnya dibuat cat hijau, Garcinia dulcis",GAP,
has dalam,"has dari bagian tengah badan, terdiri atas bagian otot di sekitar bagian tulang belakang, antara bahu dan tulang panggul, biasanya digunakan sebagai bahan membuat steik",GAP,
nasi anjing,"nasi berkuah (tanpa ikan, daging, dan sebagainya)",GAP,
telur mata sapi,telur ayam (itik) yang digoreng tanpa diaduk dahulu (kuning telurnya masih utuh),hintalu mata sapi,"intalu nang digoreng kada baaduk, kuning intalunya masih utuh"
jus nanas,sari buah nanas,GAP,
bayam duri,"terna yang tumbuh liar, tinggi hingga 100 cm, batangnya kemerah-merahan, pada ketiak daun terdapat sepasang duri (Amaranthus spinosus)",GAP,
pempek belah,"pempek berbentuk menyerupai pempek lenjer, bagian tengahnya dibelah dan diisi campuran ebi, cabai, dan kecap manis",GAP,
kacang mentik,"kacang tolo yang hampir tumbuh menjadi kecambah yang digoreng, biasanya ditaburkan pada tipat cantok",GAP,
jamur enokitake,"jamur konsumsi menyerupai batang asparagus, berwarna putih bersih, bertekstur lembut, dapat ditumis dan dimasak sebagai campuran sayuran (Flammulina velutipes)",GAP,
beras ketan,beras yang apabila ditanak lekat-lekat; beras pulut,baras lakatan,Baras yang diambil dari padi jenis padi lakatan
dadar jiwo,"makanan dibuat dari adonan tepung terigu atau tepung beras dan telur yang dibuat dadar, diisi dengan tumisan pepaya muda, kemudian digulung, disiram dengan santan kental dan ditaburi bawang goreng",GAP,
ekstrak sitrun,ekstrak dari buah sitrun,GAP,
prasmanan,cara menjamu makan dengan mempersilakan tamu mengambil dan memilih sendiri hidangan yang sudah ditata secara menarik di beberapa meja,prasmanan,makanan nang tinggal pilih
pisang raja serai,"pisang yang bentuknya agak panjang dan tidak begitu besar, berkulit kuning, baunya harum",GAP,
tahu walik,"tahu kopong goreng yang dibalik dan diberi isian daging ayam, sapi, atau aci",tahu walik,tahu yang digoreng dengan teksturnya renyah. tahu ini dipotong kecil-kecil dan digoreng hingga menjadi crispy
adonan panekuk,campuran dan adukan untuk membuat panekuk,GAP,
sup buah,"minuman yang terbuat dari potongan bermacam-macam buah, dibubuhi sirup, susu kental manis, dan es batu",sup buah,minuman nang isiannya bemacam-macam buah bacampur awan kental manis
mentega buatan,(tiruan) mentega yg bukan dr susu,GAP,
pai apel,"pai berisi apel yang dimasak dengan mentega, gula, kayu manis, dan sedikit lemon",GAP,
pisang ambon,"pisang yang dagingnya tebal, berwarna putih kekuning-kuningan, kulitnya kehijau-hijauan sampai kuning",GAP,
jeruk macan,jeruk bali yang isi buahnya berwarna merah,GAP,
kacang telur,"kacang tanah yang digoreng dalam balutan adonan terigu, tapioka, dan telur, bertekstur renyah dan biasanya sedikit manis",kacang hintalu,"camilan nang di ulah dari kacang tanah nang dilapisi adonan tepung dan telur, habis tuh digoreng hingga renyah dan berwarna keemasan"
lemper,"penganan yg dibuat dr ketan di dalamnya diisi lekan atau daging cincang,dibungkus daun pisang dan dikukus",lemper,"makanan tradisional Indonesia nang terbuat dari ketan yang diisi dengan daging atau bahan lainnya, lalu dibungkus dengan daun pisang dan dikukus hingga matang"
jeli anggur,jeli dengan rasa anggur,GAP,
aliagrem,"penganan tradisional Sunda yang terbuat dari tepung beras, santan, dan gula merah dibentuk menyerupai cincin",aliagrem,minuman beralkohol yang berasal dari fermentasi air nira kelapa
rebung,"anak (bakal batang) buluh yg masih kecil dan muda, biasa dibuat sayur",rebung,"tunas muda dari tanaman bambu yang masih segar dan empuk, biasanya digunakan dalam berbagai masakan sebagai bahan tambahan"
donat,"kue yg dibuat dr tepung terigu, mentega, gula, dsb, berbentuk bundaran yg berlubang di tengahnya",donat,wadai dari tepung terigu dan bahan lainnya
padi,"terna yang termasuk suku Poaceae, tingginya mencapai 1,2 m, berdaun memita panjang, berbunga majemuk, menghasilkan bulir beras yang bervariasi warnanya, tumbuh di sawah atau ladang, biasanya dimanfaatkan sebagai makanan pokok (Oryza sativa)",padi,padi merupakan bahan utama untuk menghasilkan beras
kelorak,"nama tumbuhan memanjat, biasa ditanam di pagar, daunnya dibuat sayur",GAP,
rasberi,jenis buah ceri berwarna merah atau hitam (Rubus idaeus),rasberi,"buah halus berbentuk bola yang berwarna merah, ungu, atau hitam, dengan rasa manis dan sedikit asam"
pepaya,"tumbuhan buah daerah tropis, batangnya lurus tidak beranting seperti palem, tetapi tidak berkayu, buahnya berdaging tebal dan manis; betik; kates; keliki (Carica papaya)",kastela,"buah nang ada di daerah tropis, daging buah kandal lawan bawarna oren, bijinya banyak"
kecap jamur,"kecap asin yang ditambahkan ekstrak jamur, berwarna hitam pekat",GAP,
tiramisu,"makanan penutup khas Italia berupa kue yang terbuat dari biskuit, keju, dan kopi dengan taburan bubuk kakao di atasnya",tiramisu,"hidangan pencuci mulut asal Italia yang terdiri dari lapisan biskuit yang direndam dalam kopi, kemudian diisi dengan campuran keju dan krim, serta ditaburi dengan bubuk kakao di atasnya"
kundang(an),"nama pohon, daun dan buahnya dibuat lalap, kayunya dibuat perkakas rumah, Bouea macrphylla",GAP,
mi kocok,mi rebus yang cara memasaknya dikocok dengan telur dan sayuran,mi kocok,mi nang di kocok dengan telur dan sayur
soto Lamongan,"soto khas Lamongan dengan kuah kuning, berisi ayam, sohun, koya, dan sebagainya",soto Lamongan,"Soto ini terkenal dengan kuah kaldu ayam yang bening dan rasa yang gurih, serta dilengkapi dengan berbagai bahan seperti ayam suwir, telur rebus, tauge, dan bawang goreng"
ketupat glabet,"makanan khas Tegal, berupa ketupat yang diberi sayur bersantan kental, ditaburi bawang goreng, dan kerupuk singkong",GAP,
cokelat putih,"cokelat yang terbuat dari campuran mentega kakao, gula, padatan susu, lesitina, dan perasa",GAP,
babat,"daging perut lembu, kerbau, dsb yg biasa dimakan",GAP,
lemuru,"lekan laut yg dapat dimakan, banyak terdapat di perairan sekitar pulau Jawa, merupakan jenis Sardin",GAP,
daging bebek,daging dari bebek,daging itik,daging dari itik
vla cokelat,"saus yg dibuat dr susu, kuning telur, gula, dan cokelat dng aroma lain untuk makan puding",GAP,
sambal kecap,"sambal yang dibuat dari cabai, bawang merah, dan tomat yang diiris kecil-kecil lalu diberi kecap",GAP,
vla,"saus yg dibuat dr susu, kuning telur, gula, dan vanili atau aroma lainnya",vla,"campuran dari susu, telur, dan gula yang dimasak hingga mengental gasan saus di hidangan penutup"
ikan gurami,"ikan yang hidup di ekosistem perairan tawar dan payau, ukurannya dapat mencapai 70 cm, tubuhnya pipih membulat, bersisik, sirip perut membentuk filamen yang sangat panjang, pada ikan muda terdapat 8-10 garis vertikal, warna ikan dewasa abu kehitaman, tersebar di Asia (Osphronemus ",GAP,
sayur,"1 daun-daunan, tumbuh-tumbuhan, polongan dsb, yg dapat dimasak; 2 masakan yg berkuah: -- asam; -- bening; spt -- dng rumput, pb banyak bedanya; berlainan benar; sayur-mayur berbagai-bagai sayur (spt kubis, kangkung, bayam); menyayur v memasak sayur (sup dsb); sayur-sayuran sayur-mayur",sayur,"tumbuhan nang dijadiakan makanan pelengkap lauk, bamacam janisnya contohnya kangkung, pucuk gumbili, kol, dan banyak lagi"
ruji,makanan utama yg dimakan sehari-hari (spt nasi); ransum,GAP,
susu pasteurisasi,susu yang diawetkan dengan cara memanaskan pada temperatur 80��C selama 30 ,GAP,
anyang,"nama masakan (kerang mentah, daging, dsb) dengan rempah-rempah dan garam, atau buah-buahan mentah dng lada dan garam; menganyang v membuat anyang",GAP,
bawang daun,"bawang yang umbinya memanjang berwarna putih, berdaun geronggang; bawang bakung; bawang cina; bawang prei (Allium fistulosum)",GAP,
kikil,"kulit kerbau (sapi, kambing) bagian dalam yg dapat dimakan (biasa dibuat sate dsb)",kikil,makanan dari kulit kerbau
saus tomat,"saus yang terbuat dari bahan utama tomat, biasanya diproduksi dalam pabrik dan dijual dalam kemasan botol atau saset, rasanya sedikit asam manis dan tidak pedas",GAP,
zaitun,"tumbuhan yg pohonnya berwarna hijau, tumbuh di daerah Laut Tengah, buahnya kecil dan masam rasanya, dipakai sbg bahan penghasil minyak (minyak zaitun); Olea europaea",zaitun,buah matan tumbuhan halus wan hijau salawasan (evergreen)
pempek tunu,"pempek berbentuk bulat dan berukuran kecil, terdapat belahan di tengahnya berisi campuran ebi dan cabai rawit yang dihaluskan serta kecap manis, yang dipanggang atau dibakar",GAP,
adonan biskuit,"campuran dan adukan tepung terigu, telor, mentega, dan gula atau tanpa gula dsb",GAP,
mi dadak,mi yang setelah dimasak sekejap sudah siap untuk dimakan,mi dadak,"mi nang dibuat dan dimasak hancap, biasanya menggunakan bahan-bahan segar dan diproses dengan cepat"
permen,gula-gula yang bau dan rasanya mengandung campuran minyak perangsang (dari tumbuhan),gulaan,sajanis gugulaan/gula-gula nang diulah lawan cara mancairakan gula di dalam banyu
soto Madura,"soto khas Madura dengan kuah kuning kecokelatan, berisi sandung lamur atau ayam suwir, taoge, bawang merah goreng, dan sebagainya",soto Madura,"Hidangan ini biasanya terdiri dari kuah kaldu daging sapi yang gurih, dengan tambahan rempah-rempah yang kaya rasa"
jus limau,sari buah limau,jus limau,jus nang terbuat matan limau
soto Kudus,"soto khas Kudus dengan kuah bening kecokelatan, berisi daging sapi atau ayam suwir, tauge, bawang putih goreng, dan sebagainya",soto kudus,"Sup ini menggunakan daging sapi atau ayam sebagai bahan utama, dan biasanya disajikan dengan kuah bening yang ringan"
tapai singkong,tapai yg dibuat dr singkong,tapai singkong,"tapai nang di ulah dari singkong, bawarna kuning dan memiliki rasa asam-asam manis"
tahu isi,"tahu yang diisi, biasanya dengan wortel, taoge, kol, dan diberi bumbu",tahu isi,"tahu yang di dalamnya diisi dengan campuran sayuran atau daging, digoreng hingga renyah"
bubur ayam,bubur dr beras bercampur daging ayam,bubur ayam,Baras dimasak lambik diatasnya diberi irisan ayam halus halus
pemanis,zat yang digunakan untuk menambah rasa manis pada makanan atau minuman,pemanis,bahan yang digunakan untuk memberikan rasa manis pada makanan atau minuman
es oyen,"minuman tradisional Bandung, terbuat dari serutan es yang dicampur dengan pacar cina, kelapa muda, kolang-kaling, nangka, alpukat, dan susu",GAP,
daging basah,daging yang masih segar,GAP,
kue ampo,"penganan khas Tuban, terbuat dari tanah liat yang dipanggang, berbentuk gulungan",GAP,
jeruk manis,"jeruk dengan daun bersayap, berbau harum, buahnya bulat, pada ujungnya terdapat lekukan, rasanya manis, kulit buahnya sukar dikupas, digunakan sebagai jeruk peras (Citrus aurantium (sinensis))",GAP,
beras merah,beras yang bernilai gizi tinggi dan berwarna merah,baras habang,Baras yang warnanya habang
pempek panggang,"pempek berbentuk bulat dan berukuran kecil, terdapat belahan di tengahnya berisi campuran ebi dan cabai rawit yang dihaluskan serta kecap manis, yang dipanggang atau dibakar",GAP,
nutrisi,makanan bergizi,GAP,
baklava,"penganan khas Turki yang dibuat dari tepung tanpa ragi, aneka kacang-kacangan, dan kayu manis yang disiram sirop dan bubuk pistacio, biasanya disajikan dalam bentuk persegi, trapesium, atau segitiga",GAP,
geblek,"penganan goreng, dibuat dr adonan pati ubi kayu, dibentuk spt cincin berangkai",GAP,
apam,"kue dibuat dr tepung beras yg diberi ragi, santan, dan gula; mengapam v membuat apam",apam,"makanan nang diulah matan galapung baras nang diganaakan samalaman nang hudah dicampur duwa santan, gula, tapai wan saikit uyah nang imbah ngitu cagaran dibanam atawa disumap"
ranti,"tumbuh-tumbuhan yg buahnya spt tomat kecil-kecil, daun dan buahnya dibuat sayur, Salanum nigrum",GAP,
jeruk pepaya,"jeruk yang bentuknya memanjang dan ujungnya berbentuk puting, kulitnya berwarna kuning kehijauan, tebalnya kira-kira 2,5 cm; jeruk pepaya (Citrus papaya)",GAP,
agar-agar,penganan yg dibuat dr sejenis rumput laut,GAP,
jeruk nipis,"pohon kecil yang bercabang banyak, buahnya bulat telur, berwarna hijau sampai kuning, kulit buahnya tipis dan mengandung minyak asiri (Citrus aurantifolia)",limau nipis,"buah nang bebentuk bulat telur, berwarna hijau sampai kuning, kulit buahnya tipis dan mengandung minyak asiri"
tagliatele,"pasta klasik, bentuknya pipih dan mirip fetucini, memiliki panjang 0,65 cm hingga 1 cm",GAP,
kroket,nama penganan yg dibuat dr kentang yg dihaluskan yg diisi daging di dalamnya,GAP,
pencuci mulut,hidangan penutup (buah-buahan dan sebagainya) yang dimakan setelah makan,GAP,
jus apel,sari buah apel,jus apal,jus nang terbuat matan apal
daging kalkun,daging dari kalkun,GAP,
gaplek,singkong atau ubi kayu yg dikeringkan setelah dikupas dan dibersihkan terlebih dahulu,GAP,
ayam seraki,makanan khas Banten berbahan dasar ayam yang dimasak dengan rempah-rempah dan santan,GAP,
makan siang,makan pada waktu siang hari,GAP,
susu khusus diabetes,"susu khusus bagi diabetesi, menggunakan gula yang rendah kalori dan tidak cepat meningkatkan kadar gula, dilengkapi dengan kromium pikolinat, biasanya mengandung serat tinggi dan bebas kolesterol",GAP,
nasi timbel,"nasi yang dibungkus dengan daun pisang kemudian dikukus, dapat dibakar setelah dikukus untuk menambah aroma, biasanya disajikan dengan sambal, lalap, ayam goreng, dan sebagainya",GAP,
burger keju,burger dengan lapisan keju,GAP,
sambal bajak,"sambal yang dibuat dari cabai, bawang merah, kemiri, garam, terasi diberi santan dan direbus hingga air santannya menguap habis",GAP,
ikan asap,ikan yang dimasak dengan cara diasapi dengan hawa panas,GAP,
pisang air,"tanaman air mirip pohon pisang dengan daun seperti daun talas, tingginya dapat mencapai 4 m, daunnya berbentuk oval dengan panjang dapat mencapai 1,5 m dengan tepian daun bergelombang dan tersusun melingkar membentuk tajuk simetris (Typhonodorum lindyeyanum)",GAP,
gula rafinasi,gula mentah yang melalui proses pemurnian menghasilkan gula berwarna putih,GAP,
jus wortel,sari buah wortel,jus wortel,"jus nang terbuat matan wortel yang dihaluskan, biasanya dicampur dengan air dan pemanis"
sangau,"rumput laut (yg dibuat agar-agar), Gelidiopsis rigida",GAP,
nasi goreng,nasi yang diberi bumbu (biasanya agak pedas) dan digoreng,nasi goreng; nasi basanga,Nasi yang digoreng pakai bumbu
daging gulung,"makanan (lauk) berbentuk gulungan, terbuat dari daging sebagai lapis luar dan bahan lain (wortel, acar, dan sebagainya) sebagai isi",GAP,
abrikos,"buah yang berbentuk bulat berwarna oranye, berdaging tebal, dan berbiji besar dan keras; aprikot (Prunus armeniaca)",GAP,
kerupuk melarat,"kerupuk khas Cirebon, berbahan dasar tepung tapioka, biasanya berwarna merah muda, kuning muda, dan putih, disangrai dengan menggunakan pasir",GAP,
jeruk Pacitan,"jeruk manis dengan kulit buah yang tebal, seringkali diberikan untuk bayi karena rasanya yang manis meskipun belum matang",GAP,
es doger,"minuman dari serutan es yang dicampur dengan pacar cina, tapai, cincau hitam, susu, dan sirop yang berwarna merah",es doger,"minuman nang tabuat dari es yang di campuri potongan roti, nangka, tapai, susu, sagu mutiara merah dan pacar cina"
gula kristal,"gula bit atau gula tebu, berbentuk butiran atau kubus",GAP,
oregano,"tanaman penyedap masakan, tumbuh di Asia Tengah, panjang tanaman 20-80 cm, daun berlawanan, bunga berwarna ungu (Origanum ",oregano,"sejenis herba Daunnya kecil, hijau, dan memiliki rasa yang kuat serta aroma yang khas"
samosa,"pastri goreng khas Asia Selatan yang berbentuk segitiga, biasanya berisi kentang rebus berbumbu rempah-rempah dicampur kacang kapri, bawang bombai, keju, daging ayam atau sapi, dan lain-lain",GAP,
jamur shitake,"jamur konsumsi menyerupai payung, berwarna hitam pada bagian bawah, bertekstur kenyal, berdaging tebal, memiliki aroma yang khas seperti jengkol, diolah sebagai bahan tumisan dan hidangan panggang (Lentinus edodes)",GAP,
ham,"bagian atas kaki belakang babi yg digarami, dikeringkan atau diasapi, dan disiapkan untuk dimakan",GAP,
cokelat Belgia,"cokelat buatan Belgia, sering dianggap memiliki kualitas unggul karena kandungan kakaonya yang tinggi serta metode dan resep tradisional yang digunakan dalam pembuatannya",GAP,
tortila,"roti khas Meksiko berbentuk bulat tipis dengan isian daging, keju, dan sebagainya, biasanya dimakan panas-panas",tortila,roti pipih yang biasanya terbuat dari jagung atau gandum
susu awet,susu yang telah diproses dan dapat disimpan lama tanpa menjadi busuk,GAP,
garam,"zat berwarna putih, berasa asin, dapat larut dl air",uyah,uyah adalah sajanis miniral nang kawa maulah rasa masin rancaknya uyah nang tasadia sacara umum adalah natrium klorida nacl nang dihasilakan ulih banyu laut uyah dalam bantuk alaminya adalah miniral karistal nang dipinandui sawagai batu uyah atawa halite
ikan bawal laut dalam,"bawal laut yang panjangnya mencapai 70 cm, moncongnya bulat, tampak cembung di antara mata, bibir atas terpisah dengan moncong di ujung, guratan perut bermula di antara dasar sirip perut sampai dubur, tidak ada gurat mendalam pada pangkal cuping sirip ekor, badannya cokelat keperakan merata, hidup di epipelagik hingga mesopelagik dengan kedalaman 0-620 m, tersebar di perairan Indo-Pasifik (Eumegistus il",GAP,
soto Medan,"soto khas Medan dengan kuah santan berwarna kekuningan, berisi daging ayam atau sapi, taoge, telur rebus, dan sebagainya",soto medan,"Soto ini memiliki kuah bening yang kaya rasa, biasanya menggunakan daging sapi atau ayam, serta bumbu rempah yang khas seperti serai, daun jeruk, dan kunyit"
geplak,"penganan yg dibuat dr durian, sirsak nangka, atau panili",GAP,
tahu aci,penganan khas Tegal yang terbuat dari tahu kuning yang dipotong melintang berisi adonan tepung tapioka dan bumbu lainnya kemudian digoreng hingga garing,GAP,
beras putih,beras giling dengan derajat sosoh yang tinggi,baras,hagian bulir banih gabah nang sudah dipisah matan sekam sekam jawa merang sacara anatumi disambat hagian nang ditutupi dan hagian nang manutupi
minuman isotonik,minuman berupa suplemen cairan yang mengandung zat gizi dengan proporsi yang sama dengan keadaan normal dalam tubuh,GAP,
bubur ketan hitam,"bubur yang dibuat dari beras ketan hitam, direbus dengan garam dan gula, dimakan dengan ditambah santan rebus",bubur lakatan hitam,Bubur yang diulah dari Baras katanya hirang
kacang hijau,kacang yang bijinya bulat-bulat kecil dan berwarna hijau (Phaseolus radiatus),kacang hijau,"kacangan kecil nang berwarna hijau dan sering digunakan sebagai bahan makanan atau minuman. Kacang hijau kaya akan protein, serat, dan berbagai vitamin serta mineral"
gula invert,gula dengan komposisi campuran yang sama antara glukosa dan fruktosa sebagai hasil dari hidrolisis sukrosa,GAP,
oncom hitam,oncom yang dibuat dari kacang tanah yang didegradasi oleh jamur Rhizopus oligosporus (warna hitam berasal dari jamur tersebut),oncom hitam,salah satu jenis oncom yang terbuat dari bungkil kacang tanah. Ciri khasnya adalah warna hitam pada bagian yang ditumbuhi kapang
otek,"ikan air laut atau payau, ukurannya mencapai 40 cm, hidup di dasar perairan tropis, tersebar di perairan Pakistan, Malaysia bagian selatan hingga ke Filipina, dan Indonesia (Plicofollis tonggol)",GAP,
kacang bandung,"kacang yang buahnya tertanam di tanah, bijinya yang lezat dan gurih sebagai bahan minyak goreng, dibuat berbagai makanan, seperti selai, kacang, gula kacang, sambal kacang (Arachis hypogaea)",kacang bandung,
ketan urap,nasi ketan yg diberi kelapa parut yg sudah dicampur dng sedikit garam,ketan urap,"ketan nang dikukus, habistuh dicampur dengan kelapa parut yang telah diberi bumbu rempah."
gula batu,gula yang berbungkal-bungkal keras menyerupai batu,gula batu,bentuknya seperti batu
okra,"pohon yang batangnya berbulu, daunnya menjari, bunganya berbentuk trompet, buahnya kapsul memanjang, tumbuh di bioma tropis kering, buah muda dapat dimanfaatkan untuk sayuran dan biji untuk kopi; kopi arab (Abelmoschus esculentus)",okra,sayuran hijau yang berbentuk seperti polong panjang dengan tekstur berlendir di dalamnya
opor,"gulai ayam (itik dan sebagainya) berkuah santan kental, dimasak dengan rempah-rempah, biasanya berwarna putih atau kekuning-kuningan",opor,"masakan khas Indonesia yang terdiri dari daging ayam atau bahan lainnya yang dimasak dengan santan dan bumbu rempah seperti serai, daun salam, dan kunyit"
tinutuan,"penganan khas Manado berupa bubur dibuat dari campuran beras dan beberapa jenis sayur (kangkung, bayam, labu, dan sebagainya), biasanya dimakan dengan ikan",tinutuan,"bubur sayuran terbuat dari campuran berbagai sayuran seperti labu kuning, jagung, bayam, kangkung, dan daun gedi"
oreo,kukis cokelat dengan lapisan krim,oreo,biskuit sandwich cokelat yang terdiri dari dua keping biskuit cokelat dengan krim manis di tengahnya
kacang ose,kacang yang sudah dikupas,GAP,
ikan basah,ikan yang tidak diberi garam dan tidak dikeringkan; ikan segar,GAP,
bluberi,"tanaman semak dari genus Vaccinium, bunganya berbentuk menyerupai lonceng, buahnya berukuran kecil dan berwarna ungu gelap saat matang",GAP,
teh botol,air teh yang telah dibubuhi gula dan dikemas dalam botol untuk diperdagangkan,tih botol,minuman teh yang dikemas dalam botol
bubuk kokoa,bubuk dari tanaman cokelat,GAP,
dadar,"telur yg diaduk (dikocok) bersama bumbu (bawang, merica, garam, dsb) kemudian digoreng dng minyak (bentuknya pipih)",intalu dadar,intalu dadar atawa omelet adalah variasi makanan intalu bagoreng nang disiapakan awalannya mangocok intalu wan manggorengnya lawan minyak goreng atawa mantega panas di rinjing
nasi mangkuk,"nasi, biasanya nasi putih, berbagai lauk, seperti daging ayam, daging sapi, telur, dan sebagainya, sayuran, atau tambahan lainnya yang disajikan dalam sebuah mangkuk, dapat dilengkapi saus tertentu",GAP,
pisang raja,"pisang yang berkulit tebal, kalau tua berwarna kuning, dagingnya tebal agak merah, dapat dimakan tanpa dimasak atau dijadikan bahan olahan lain (pisang goreng, keripik, dan sebagainya)",pisang raja,"pisang yang memiliki ukuran besar, daging buah yang tabal, dan rasa yang manis"
keripik jagung,keripik yang terbuat dari jagung,GAP,
daging asin,daging yang digarami dan dikeringkan,GAP,
kacang gajah,"kacang tanah yang polongnya berlekuk, urat agak kasar, pelatuk kurang jelas, warna kulit bijinya merah jambu, daging biji mengandung protein dan lemak",kacang gajah,polongnya berlekuk dan bijinya warna merah jambu
nasi kerak,nasi yg berasal dr kerak,GAP,
kue tar,"kue, biasanya dibuat dari adonan tepung terigu, gula, mentega telur, dan sebagainya, biasanya berbentuk bundar",wadai tar,"wadai nang biasanya berbentuk bulat atau persegi dengan dasar yang terbuat dari adonan pastry dan diisi dengan berbagai macam bahan seperti buah-buahan, custard, cokelat, atau krim"
bumbu ikat,"campuran herba yang diikat menjadi satu, biasanya terdiri atas timi, tangkai peterseli, seledri, lada, dan daun salam, digunakan sebagai perasa atau pengaroma masakan",GAP,
mendut,"nama penganan yg dibuat dr tepung ketan, diisi dng unti (kelapa parut yg dibesi gula jawa) lalu dikukus dl daun pisang",GAP,
empek-empek,"makanan khas Palembang yg dibuat dr adonan tepung dan ikan atau adonan tepung yg diisi telor, dimakan dng saus cuka","pempek
empek-empek",makanan nang di ulah dari adunan tepung dan iwak atau adonan tepung yang diisi hintalu
kacang goreng,kacang tanah yang digoreng,kacang goreng,kacang nang di goreng
jus kranberi,sari buah kranberi,GAP,
keripik kaca,"keripik yang dibuat dari tapioka, kaldu bubuk, garam, dan lada bubuk yang digiling dalam plastik dan dijemur hingga kering, berbentuk tipis menyerupai kaca, memiliki rasa gurih dan pedas",GAP,
gula meja,gula dari tebu yang bentuknya halus-halus seperti pasir,GAP,
saus,"kuah yg kental berisi bumbu bahan tertentu (tomat, cabai, dsb) untuk pasangan kue atau lauk; kuah penyedap makanan",saus,biasanya kuah atau lumuran nang bacampur bumbu sakira manyamani makanan
limun,minuman dr air buah-buahan,limun,"minuman nang terbuat dari campuran air, gula, dan perasan lemon atau jeruk nipis"
ayam iloni,"masakan khas Gorontalo yang terbuat dari daging ayam yang dibakar, diberi racikan bumbu dan santan",GAP,
