Lemma,Gloss,Banjarese lemmas (or gap),Banjarese Gloss
dust,fine powdery material such as dry earth or pollen that can be blown about in the air,gabuk ,bubuk halus yang rigat
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,udara,gas gasan benapas
people,(plural) any group of human beings (men or women or children) collectively,urang,sakumpulan manusia
"thread, yarn",a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,banang,tali gasan manjahit 
"body, organic structure, physical structure",the entire structure of an organism (especially an animal or human being),awak,bagian fisik manusia atau binatang dari kapala sampai batis/buntut
"calendar month, month",one of the twelve divisions of the calendar year,bulan,satu dari dua belas bulan yang ada di kalender
"january, jan",the first month of the year; begins 10 days after the winter solstice,januari,bulan partama dari dua belas bulan di kalender
"earth, ground",the loose soft material that makes up a large part of the land surface,bumi/tanah,"wadah barataan makhluk tuhan bajajak, hidup"
"february, feb",the month following January and preceding March,februari,bulan panangahan antara januari dan maret
"march, mar",the month following February and preceding April,maret,bulan panangahan antara februari dan april
"april, apr",the month following March and preceding May,april,bulan yang dikapit maret dan mei
may,the month following April and preceding June,mei,bulan yang dikapit antara april lawan juni
june,the month following May and preceding July,juni,bulan yang dikapit antara mei lawan juli
july,the month following June and preceding August,juli,bulan yang dikapit antara juni lawan agustus
"august, aug",the month following July and preceding September,agustus,bulan yang dikapit antara juli lawan siptimbir
"september, sep, sept",the month following August and preceding October,september,bulan yang dikapit antara agustus lawan uktubir
"october, oct",the month following September and preceding November,oktober,bulan yang dikapit siptimbir lawan nupimbir
"november, nov",the month following October and preceding December,nopimbir,bulan yang dikapit uktuber lawan disimbir
"december, dec",the last (12th) month of the year,disimbir,bulan peampihan
crow,black birds having a raucous call,gagak,burung gagak
spirit,the vital principle or animating force within living things,ruh,aruwah
fork,cutlery used for serving and eating food,garpu,susudu
"ring, band",jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,"cincin, utas",bacincin
"end, last, final stage",the concluding parts of an event or occurrence,ampih,peampihan
"church, church building",a place for public (especially Christian) worship,garija,garija
"deity, divinity, god, immortal",any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,"diwa, tuhan",tuhan
"filth, crud, skank",any substance considered disgustingly foul or unpleasant,rigat,marigat
"misfortune, bad luck, tough luck, ill luck",an unfortunate state resulting from unfavorable outcomes,kada untung,kada beuntung 
"road, route",an open way (generally public) for travel or transportation,jalan,jalanan
meat,the flesh of animals (including fishes and birds and snails) used as food,daging,badaging
"male child, boy",a youthful male person,anak lakian,kanakan lakian
"medicine, medication, medicament, medicinal drug",(medicine) something that treats or prevents or alleviates the symptoms of disease,ubat,ubat ubatan
"pile, heap, mound, agglomerate, cumulation, cumulus",a collection of objects laid on top of each other,tuyukan,betuyuk
"man, adult male",an adult person who is male (as opposed to a woman),paman,paman
grain,1/7000 pound; equals a troy grain or 64.799 milligrams,GAP,
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,kalinci,ganal daripada kalinci
"piece, slice",a serving that has been cut from a larger portion,tatakan,betatak
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),lamak,paluh
"companion, comrade, fellow, familiar, associate",a person who is frequently in the company of another,kawan,kakawanan
campfire,a small outdoor fire for warmth or cooking (as at a camp),api unggun,batimbun
"family, family unit",primary social group; parents and children,kaluarga,bakaluarga
"flower, bloom, blossom",reproductive organ of angiosperm plants especially one having showy or colorful parts,kambang,kalupak kambang
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,tikus,mariangin
roof,a protective covering that covers or forms the top of a building,hatap,hatap
"fall, autumn",the season when the leaves fall from the trees,musim gugur,musim gugur
"summer, summertime",the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,kamarau,musim nang paling panas pas wayah setahun
"spring, springtime",the season of growth,musim kambang,musim nang wayahnya tumbuhan kambang
"winter, wintertime",the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,bangkilan,musim nang paling dingin pas wayah setahun
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,sabat,"dedaunan nang rancak tumbuh dimuka rumah,di higa, wan dibawah rumah"
"wealth, wealthiness",the state of being rich and affluent; having a plentiful supply of material goods and money,sugih,status sagan urang nang kebanyakan harta atau kesugihan
row,an arrangement of objects or people side by side in a line,bejejer,benda nang besusun atau bisa disambat behigaan
fur,a garment made of the dressed hairy coat of a mammal,kulimbit,"bagian nang malindungi binatang, bisa disambat kulit, bisa jua kulimbit"
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,rambut,"bagian nang malindungi awak, amun di manusia biasanya di daerah atas kepala"
"sin, sinning",an act that is regarded by theologians as a transgression of God's will,dusa,"amun kita melanggar, dan itu salah anggapan nya"
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,handuk, alat gasan mengaring akan sesuatu yang basah
"dirt, filth, grime, soil, stain, grease, grunge",the state of being covered with unclean things,rigat,hal hal nang berkaitan lawan kada barasih
"forest, wood, woods",the trees and other plants in a large densely wooded area,padang sabat,"banyak puhun-puhun, wan hijau-hijau"
seed,a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa,banih,"bakal gasan tanaman atau buah nang tumbuh, dengan cara ditanam"
"one-half, half",one of two equal parts of a divisible whole,setangah,"bagian nang kada lengkap, atau kada sampai satu"
glass,a brittle transparent solid with irregular atomic structure,cangkir,wadah transparan gasan meandak banyu
"beard, face fungus, whiskers",the hair growing on the lower part of a man's face,janggut,bagian dari muha manusia nang di bagian dagu biasanya tumbuh
"mustache, moustache",an unshaved growth of hair on the upper lip,singut,rambut nang tumbuh di bagian atas bibir
"swarm, cloud",a group of many insects,"gerombolan, sakumpulan",sekelompok serangga
"eagle, bird of jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,elang,"sejenis burung pemangsa ganal nang baisi mata tajam, cengkraman kuat, sayap gagah, bisa tarabang tinggi, wan aktif di siang hari. "
"sack, poke, paper bag, carrier bag",a bag made of paper or plastic for holding customer's purchases,kantung balanja,kantung nang diulah matan kertas atau plastik gasan manyimpan belanjaan.
mirror,polished surface that forms images by reflecting light,cermin,parmukaan halus nang mambantuk gambar lawan mancarminakan cahaya
"bone, os",rigid connective tissue that makes up the skeleton of vertebrates,tulang,jaringan ikatan nang maulah rangka vertebrata
trap,a device in which something (usually an animal) can be caught and penned,perangkap,alat di mana biasanya hewan taparangkap wan dikurung
squirrel,a kind of arboreal rodent having a long bushy tail,tupai,sejenis rodentia arboreal nang baisi buntut babulu panjang.
"owl, bird of minerva, bird of night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,kukulai,"burung pemangsa malam nang baisi paruh wan cakar nang kaya elang, muha ganal lawan mata nang mahadap ke depan"
"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,roti,makanan nang diulah matan adonan tepung mamakai ragi bistuh dipanggang
gate,a movable barrier in a fence or wall,gerbang,penghalang nang kawa dipindahakan dalam pagar atau dinding
"collar, neckband",a band that fits around the neck and is usually folded over,kerah,mangulilingi gulu wan biasanya digulung ke bawah
worker,a person who works at a specific occupation,urang gawian,urang nang begawi desan bidang tatantu
"footstep, pace, step, stride",the distance covered by a step,"tapak batis, langkah, langkah nang panjang",jarak nang dilalui sabuting langkah
tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,gigi,bagian karas nang ada di dalam muntung manusia lawan hewan. dipakai desan mangunyah dan maigut. bisa jua desan manyarang lawan.
comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair,suruy,alat datar bergerigi nang dipakai desan membujuri rambut
crane,large long-necked wading bird of marshes and plains in many parts of the world,GAP,
"apparel, wearing apparel, dress, clothes",clothing in general,pakaian,baju nang dipakai sacara umum
"trouser, pant","(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",salawar panjang,(rajin biasanya babantuk jamak) salawar nang manukupi matan di pinggang hampai ka lintuhut atawa bukulali wan manukupi kadua batis nang bapisah
"mound, hill",structure consisting of an artificial heap or bank usually of earth or stones,gundukan,struktur nang tadiri tumpukan atawa tanggul nang rajin tabuat dari tanah atawa aur/paring
mushroom,common name for an edible agaric (contrasting with the inedible toadstool),kulat,ngaran umum gasan kulat nang dapat dimakan (balain lawan kulat hantu/payung nang kada kawa dimakan)
"mother, female parent",a woman who has given birth to a child (also used as a term of address to your mother),"mama, urang tuha babinian",suurang wanita nang talah malahirikan anak (nang rajin dikiyau gasan mama) 
"damage, harm, hurt, scathe",the act of damaging something or someone,"rusakan, marugiakan, manyakiti, mancabik",gawian nang katuju barurusak urang atawa barang
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,pambungkun pinggulu,"kain nang dipakai gasan kapala,  pinggulu atawa bahu supaya hangat atawa hahiasan"
"wave, moving ridge",one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),"galumbang, manggumpal bagarak",salah satu nang bakaitan lawan gumpalan nang bagarak malalui parmukaan encer (tarutama di atas banyu nang luas)
"teacher, instructor",a person whose occupation is teaching,"guru, kapala",saurang nang bakarja gasan mangajar
"daughter, girl",a female human offspring,"anak babinian, galuh ",nangkaturunan manusia babinian 
"horse, equus caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,kuda,dijual bakuku heitmorous bakaki ampat nang sudah dijinakakan zaman pra-hetare
"tendon, sinew",a cord or band of inelastic tissue connecting a muscle with its bony attachment,urat ,tali nang bakaitan nang di utut lawan palakat tulang 
"death, decease, expiry",the event of dying or departure from life,"kamatian, kapuhunan, kadaluarsa",paristiwa maninggalnya atawa kapargian suatu nagara
"aid, assist, assistance, help",the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose,"mabantui, manulungi, ","katuju batutulung, katuju mambantui urang"
"ice, water ice",water frozen in the solid state,"es, banyu dingin, es batu",banyu baku nang padat
"frost, hoar, hoarfrost, rime",ice crystals forming a white deposit (especially on objects outside),ambun baku,"es bakiristal manyilimuti, salju"
"tongue, lingua, glossa, clapper",a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,ilat ,jaringan utut nang dapat bagarak ditutupi landir baandakan didalam muntung
arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow,panah,"kayu nang diulah halus tapi panjang wan di ujungnya pina lancip, gasan dipakai lawan busur"
"mouth, oral cavity, oral fissure, rima oris",the opening through which food is taken in and vocalizations emerge,muntung,alat manusia yang dipakai gasan makan atawa bapandir
"drop, drib, driblet",a small indefinite quantity (especially of a liquid),titikan,banyu atawa samacamnya nang guguran
lip,fleshy folds of tissue as those surrounding the mouth,bibir,andakannya mamutari muntung
nail,a thin pointed piece of metal that is hammered into materials as a fastener,paku,"bahan gasan mamisiti kayu atawa samacamnya, dipakai taimbai lawan tukul"
"feed, give",give food to,mamakani,mambarii makan ka urang
boil,cook in boiling liquid,manggurak,tanda banyu nang dijarang sudah masak
"arise, rise, uprise, get up, stand up",rise to one's feet,"bangun, badiri, bangkit",bangun dari tampat awal yang duduk
ask,make a request or demand for something to somebody,batakun ,maulah kalimat nang handak dijawba ulih nang ditamui
"sit down, sit",take a seat,duduk,duduklah
"sink, drop, drop down",fall or drop to a lower place or level,GAP,
"tear, rupture, snap, bust",separate or cause to separate abruptly,rabit ,tapisah gabungan nang sudah rapi
break,destroy the integrity of; usually by force; cause to separate into pieces or fragments,pacah,mahancurakan sasuatu yang maulah jadi tapisah-pisah
"happen, hap, go on, pass off, occur, pass, fall out, come about, take place",come to pass,tarjadi,sasuatu paristiwa nang tacipta atau datang
"urge, urge on, press, exhort",force or impel in an indicated direction,manunjul ,mamaksa atau maarahakan sasuatu dangan paksa
"trace, draw, line, describe, delineate",make a mark or lines on a surface,magambar,maulah tanda atawa garis nang baisi makna sasuatu banda atau kaadaan
"get down, begin, get, start out, start, set about, set out, commence",take the first step or steps in carrying out an action,"baturun, mamulai",maambil langkah kasatu gasan handak tulak ka sasuatu tampat
work,exert oneself by doing mental or physical work for a purpose or out of necessity,bagawi,urang mencari duit 
"lead, take, direct, conduct, guide",take somebody somewhere,maambil,keparluan inya yang handak di pakai nya 
"begin, lead off, start, commence","set in motion, cause to start",pemulaan,tahap mula dari sebuah kejadian atawa panggawian
"brawl, wrangle","to quarrel noisily, angrily or disruptively",bakalahian,urang basarikan gegara beadu muntung
play,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,bamainan,nang rancak kakanakan bila sore ke tanah
"swallow, get down",pass through the esophagus as part of eating or drinking,turun,tagugur ka bawah
"arrive, get, come",reach a destination; arrive by movement or progress,isuk pacarku handak badatang jar ka rumah ,urang rancak nang handak banikahan
"let, allow, permit",make it possible through a specific action or lack of action for something to happen,di bari,tetangga yang rancak babarian
touch,"make physical contact with, come in contact with",di japai,urang nang maingikuti awak kita
pick up,take up by hand,di ambili ,kawang nang maambili kita ka rumah
"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it",pass from physical life and lose all bodily attributes and functions necessary to sustain life,mati,kucing di rujuk urang kada bahinak lagi
be born,come into existence through birth,lahir,bayi nang rancak kaluar dari parut
"separate, part, split up, split, break, break up",discontinue an association or relation; go different ways,ampihan,laki bini nang sudah ampih kawin becerai
"exit, go out, get out, leave",move out of or depart from,kaluar,urang nang handak bulik dari parkiran
"enter, come in, get into, get in, go into, go in, move into",to come or go into,masuk,urang nang handak masuk ka rumah
"take, get hold of","get into one's hands, take physically",manjapai,rancak handak tahu kayapa kainnya
"grasp, hold on",hold firmly,kuat,maangkat barang ganal
"call, send for","order, request, or command to come",kiau,mengiau akan urang gsn mendatangi
"hold, take hold",have or hold in one's hands or grip,mingkut,memingkut barang nang di tangan
meet,meet by design; be present at the arrival of,tamu,mun betamuan lawan urang; menamui urang
"meet, run into, encounter, run across, come across, see",come together,beumbai,beumbaian lawan kawan
freeze,change to ice,baku,jadi baku
"flip, flip over, turn over","turn upside down, or throw so as to reverse",tabalik,"taputar dari atas kabawah, atau tabalik"
boil,come to the boiling point and change from a liquid to vapor,gurak,mun manggurak imbahtu cair jadi bekukus
"dissolve, thaw, unfreeze, unthaw, dethaw, melt",become or cause to become soft or liquid,lilih,jadi atau panyabab malilih
"burn, combust",undergo combustion,banam,tabanam
"burn, incinerate",cause to undergo combustion,banam,dibanam; mambanam
spread,distribute over a surface in a layer,ucir,maucri akan kaparmukaan
jog,give a slight push to,tunjul,tunjul akan
guard,to keep watch over,jaga,manjagai
"produce, make, create",create or manufacture a man-made product,ulah,maulah karya dari urang
"hit, strike, impinge on, run into, collide with",hit against; come into sudden contact with,taanjah,tasantuh bekajutan
"revolve, go around, rotate",turn on or around an axis or a center,putar,baputar
"divide, split, split up, separate, dissever, carve up",separate into parts or portions,mamalih ,membagi akan sesuatu
"teach, learn, instruct",impart skills or knowledge to,maajar,membari ilmu pengetahuan gasan orang
sharpen,make sharp or sharper,maasah,malandapi banda tajam
rub,move over something with pressure,manggusuk,manggusuk talapak tangan atau awak lawan minyak
"fix, prepare, set up, ready, gear up, set","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",basiap,menyiap akan sesuatu sebelum tulak
"travel rapidly, speed, hurry, zip",move very fast,behancap,begarak laju banar
"dart, dash, scoot, scud, flash, shoot",run or move very quickly or hastily,bukah mencicing,bukah kada tetahu lagi
"chop, chop up",cut into pieces,menatak,menatak sesuatu atau benda 
"construct, build, make",make by combining materials and parts,meolah,meulah rerumahan pakai barang
"run, flow, feed, course","move along, of liquids",malimpas,banyu mengalir
"visit, call in, call",pay a brief visit,mengiyau,mengiyau urang gasak besinggah
appear,come into sight or view,timbul,mencungul di suatu tempat
pour,cause to run,maluruk,menuang akan banyu ke wadah
"stream, well out",flow freely and abundantly,belimpuran,tahamburan dan tabuangan
praise,express approval of,meambung,memuji urang atas pencapaian
"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs",behinak,"meambil udara lewat hidung, imbah nitu mengeluarkan dari paru-paru "
bake,prepare with dry heat in an oven,manyumap,mamasak wadai liwat oven
"disappear, vanish, go away","get lost, as without warning or explanation","mahilang, gilup",kadida habar
"cook, fix, ready, make, prepare",prepare for eating by applying heat,mamasak,maulah sasuatu gasan dimakan
"scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away",flee; take to one's heels; cut and run,bukah,bukah sambil berposisi
cough,"exhale abruptly, as when one has a chest cold or congestion",kuhul-kuhul,rasa handak mengaluarkan sesuatu tapi kada kawa di muntung 
"flee, fly, take flight",run away quickly,bukah mancicing,bukah kada belihatan lagi
blow,exhale hard,maniup,mamngaluarkan udara lewat muntung
"bring, convey, take",take something or somebody with oneself somewhere,mambawa,mambawa sasuatu gasan urang luar
"wash, rinse",clean with some chemical process,basuh,membarasihkan pakai sabum
"act, behave, do",behave in a certain manner; show a certain behavior; conduct or comport oneself,bakalakuan,basipat ditampaikan lewat kalakuan
knit,make (textiles) by knitting,marajut,maulah baju atau kain
rest,be at rest,bamandak,"bagana satumat, basantai"
drive,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly","tagatuk, tekeretek",mambari papadah gasan meulah urng sumangat
"sleep, kip, slumber, log z's, catch some z's",be asleep,guring,maistirahatkan tubuh jadi kada sadar lagi
"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",change from a waking to a sleeping state,lkalap,taguring satumat
swing,"move in a curve or arc, usually with the intent of hitting",ayun,manggarakakan banda bulak-bulik
"decorate, adorn, grace, ornament, embellish, beautify","make more attractive by adding ornament, colour, etc.",iyas,mambagusakan sasuatu
"awaken, wake, waken, rouse, wake up, arouse",cause to become awake or conscious,mailan,tabangun satumat pas guring
"wake up, awake, arouse, awaken, wake, come alive, waken",stop sleeping,jaga,"kada guring, sadar"
"flex, bend, deform, twist, turn",cause   (a plastic object) to assume a crooked or angular form,"bagana, malintih, maliung,","maubah bantuk, arah, kalakuan"
turn,cause to move around or rotate,liung,maubah arah
"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade",show off,bamegaya,"manampaiakan barang, banda, sifat"
"tie, bind","fasten or secure with a rope, string, or cord",ikat,"maikat tali, hubungan"
"thrust, stuff, shove, squeeze",press or force,"tunjul, paras",mamasukakan barang pakai cara ditunjul
"promise, assure",make a promise or commitment,janji,"manyapakati, mayakini"
"tie down, tie up, bind, truss",secure with or as if with ropes,ikat,maikat banda suoaya kada bagarak atau baubah
"fill, fill up, make full","make full, also in a metaphorical sense",isi,maisi sasuatu ruang nang kusung
"laugh, express joy, express mirth",produce laughter,tawa,riaski sanang pakai suara
"succeed, win, come through, bring home the bacon, deliver the goods",attain success or reach a desired goal,manang,dapat nang dihandaki
"botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","make a mess of, destroy or ruin",marusak,maulah sauatu jadi rusak
bathe,cleanse the entire body,mandi,mambarasihi saawakan
"wash, lave",cleanse (one's body) with soap and water,mambasuh,membarasihi bagian awak lawan sabun dan banyu
"rush, hasten, hurry, look sharp, festinate",act or move at high speed,bagagas,bagarak lakas
"join, bring together",cause to become joined or linked,bagabung,membawai basamaan
"try, seek, attempt, essay, assay",make an effort or attempt,marasai,mancubai
"comb, comb out, disentangle",smoothen and neaten with or as with a comb,maurai,maurai rambut dengan suruy
ask,address a question to and expect an answer from,batakun,manyahuti
"feel, sense","perceive by a physical sensation, e.g., coming from the skin or muscles",marasai,marasakan dijapai
hear,receive a communication from someone,mandangar,mandapat habar dariurang
"cut off, chop off, lop off",remove by or as if by cutting,manatak,mahilangakan bagian tertentu
"rear, raise, bring up, nurture, parent",bring up,manggaduh,manjagai sampai ganal
"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel",provide with clothes or put clothes on,babaju,mamakai baju
"notice, mark, note",notice or perceive,majanaki,manjanaki urang
"wear, put on, get into, don, assume",put clothing on one's body,memakai baju,mamakai baju 
take off,remove clothes,mamacul baju,mamacul ka baju
"murmur, mutter, grumble, croak, gnarl",make complaining remarks or noises under one's breath,bagarunum,bapandir gimit
"bite, sting, burn",cause a sharp or stinging pain or discomfort,tacucuk,kasakitan
"scrape, grate",scratch repeatedly,gegatalan,kagatalan
"dance, trip the light fantastic, trip the light fantastic toe",move in a pattern; usually to musical accompaniment; do or perform a dance,bajoget,bajoget saawakan
"dig, delve, cut into, turn over","turn up, loosen, or remove earth",manabuk,manabuk lubang
"ache, smart, hurt",be the source of pain,padih,kasakitan banar
"exclaim, cry, cry out, outcry, call out, shout","utter aloud; often with surprise, horror, or joy",bakuciak,bakuciak nyaring
smell,inhale the odor of; perceive by the olfactory sense,mancium,mancium bau
"rescue, deliver",free from harm or evil,salamat,manang
"complete, finish",come or bring to a finish or an end,tuntung,manuntung akan gawian
"search, seek, look for","try to locate or discover, or try to establish the existence of",mancari,mancari nang hilang
see,perceive by sight or have the power to perceive by sight,malihat,pakai mata gasan mamandang
look,perceive with attention; direct one's gaze towards,cangang,pakai mata gasan malihat nang urang kada kawa lihat
"obstruct, blockade, block, hinder, stymie, stymy, embarrass",hinder or prevent the progress or accomplishment of,mahalangi,urang kada kawa melihati karna ada nang menutupi panglihatan
"look, appear, seem",give a certain impression or have a certain outward aspect,kaya,panglihatan nang nampak jelas di mata tagal kada tahu bujur kadanya
sound,give off a certain sound or sounds,suara,mangaluarkan bunyi di muntung
"indicate, point, show","indicate a place, direction, person, or thing; either spatially or figuratively",manunjuk,"memadahi urang ampah jalan, urang, wan banda, bisa lewat muntung atawa pakai tangan"
"cry, weep","shed tears because of sadness, rage, or pain",manangis,mangaluarkan banyu di mata
kill,"cause the death of, without intention",mambunuh,sangaja atau kada sangaja mahilangkan nyawa urang atawa binatang
"convey, impart","make known; pass on, of information",mahabari/mangabari,membari tahu habar ke urang lain
"show, show up",be or become visible or noticeable,pina,"kaadaan/sesuatu hal nang kawa dilihat lewat mata, tapi kada tahu bujur kadanya"
sing,produce tones with the voice,banyanyi,managaluarkan suara nang bagus atau banada 
"sew, run up, sew together, stitch",fasten by sewing; do needlework,manjahit,membaiki barang rabit lawan jarum wan banang
"hide, conceal",prevent from being seen or discovered,manyilipakan,kagiatan nang sakiranya urang kada kawa mencarii/menamui
"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue",exhaust or get tired through overuse or great strain or stress,lapah/uyuh,kaadaan habis bagawian nang barat-barat/habis babubakahan
"glue, paste",join or attach with or as if with glue,malikap,manempel akan gambar di dinding
cover,provide with a covering or cause to be covered,pamu’ung,bubungan rumah yang ditutup pakai seng sekira kd kepanasan wan kada kehujanan 
"deceive, lead on, delude, cozen",be false to; be dishonest with,mandustai  ,bepadah jadi sekalinya kada jadi
ail,"be unwell, ill, or ill disposed",gagaringan ,rasa kada nyaman awak tapi balum garing
watch,look attentively,manonton ,pakai mata gasan melihat lawan penuh perhatian
"count, number, enumerate, numerate",determine the number or amount of,baitung ,meitungi jumlah atau nominal
"sicken, come down",get sick,garing ,"awak rasa kada kawa bebangun, makan rasa hanta"
"flash, blink, wink, twinkle, winkle",gleam or glow intermittently,kujup-kujup,"lampu nang kena banyala, kena pajah"
"govern, rule",exercise authority over; as of nations,manyuruh ,menyuruh urang sekira ada yang digawi
"close, shut",move so that an opening or passage is obstructed; make shut,kantup  ,manutup muntung nang haratan benganga
"open, open up",cause to open or to become open,takirap ,barang nang bisa ditampur angin
"tell, narrate, recount, recite",narrate or give a detailed account of,bakisah ,memadahi ke urang-urang apa nang dikatahui
"recuperate, recover, convalesce",get over an illness or shock,maobati ,maminum obat gasan meampihi penyakit
"interrupt, disturb",destroy the peace or tranquility of,mahaur/manyalang ,mengganggu urang bepandir 
"hark back, return, come back, recall",go back to something earlier,"maingatakan, mambulikakan, babulik, maingat-ingat",babulik ka asal
"translate, interpret, render",restate (words) from one language into another language,"maartii, manafsir, maubah",manarjamahakan bahasa
"connect, link, tie, link up","connect, fasten, or put together two or more pieces","sambung, tapaut, ikat, manautakan",mamasang dua banda atau labih supaya tahubung
listen,hear with intention,dangari,mandangarakan bujur-bujur
hear,perceive  (sound) via the auditory sense,dangar,mamakai indra pandangaran
"talk, speak",exchange thoughts; talk with,"pandir, bapandir",bapandiran 
"speak, talk",use language,"bapandir, pandir",mamakai bahasa gasan bapandir
"make noise, resound, noise",emit a noise,"baabut, maulangi suara, abut",kada kawa bahinip
"affect, impress, move, strike",have an emotional or cognitive impact upon,"pangaruh, katuju (pamulaan tatamu urang), mamindah, manyarang",pina tapangaruh
be,"have the quality of being; (copula, used with an adjective or a predicate noun)",jadi/ada,ada kualitasnya
paint,apply paint to; coat with paint,cat ,manguas cat
"end, stop, finish, terminate, cease","have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical","ujung, diam, tuntung, manuntungakan, maampihi","ada ujungnya, ada akhirnya"
"disturb, upset, trouble",move deeply,"taganggu, sarik, bamasalah",masalah emosi
"ring, peal",sound loudly and sonorously,"bunyi, kumandang ",bunyi nyaring
chime,emit a sound,babunyi,mangaluarakan bunyi
rustle,make a dry crackling sound,garisik,suara bagarisik
love,be enamored or in love with,cinta ,jalinan sabagai kakasih
"be, live","have life, be alive","ada, hidup",hidup di dunia
like,find enjoyable or agreeable,katuju,katuju atawa manikmati
"tinkle, tink, clink, chink",make or emit a high sound,"babunyi ""ting/kling""",maulah bunyi yang tinggi
kick,strike with the foot,sipak,manyipak pakai batis
"fear, dread",be afraid or scared of; be frightened of,"takutan, gair",takutan lawan (urang/banda)
fear,be afraid or feel anxious or apprehensive about a possible or probable situation or event,takutan,takutan atawa gair lawan kajadian
"change, alter, vary","make or become different in some particular way, without permanently losing one's or its former characteristics or essence","baubah, baganti, babida",ada parbidaan
"change, alter, modify",cause to change; make different; cause a transformation,"baubah, baganti, bamudip",maubah bantuk
"recognize, recognise, distinguish, discern, pick out, make out, tell apart",detect with the senses,"maminandui, mambidaakan, mamilih, maulah, mamisahakan",marasa-rasaakan
"taste, savor, savour",have flavor; taste of something,"marasai, rasa, manikmati",marasai supaya tahu rasanya
"annoy, rag, get to, bother, get at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","cause annoyance in; disturb, especially by minor irritations","muyak, marigati, mahaur, mamauki, mamuyaki, mangganggu",diganggu
write,communicate or express by writing,manulis,maungkap akan lewat tulisan 
"gather, garner, collect, pull together",assemble or get together,kumpulakanu,bakumpulan 
give,transfer possession of something concrete or abstract to somebody,mambari,memamindahakan kepemilikan nang abstra ke orang
"keep, hold on",retain possession of,kumpulakan,menahan posisinya
"own, have, possess",have ownership or possession of,ampun,ampunya
turn out,prove to be in the result or end,sekalinya,hasilnya di akhir
"buy, purchase",obtain by purchase; acquire by means of a financial transaction,tukar,mandapat hasil
"become, go, get",enter or assume a certain state or condition,datang,me asumsikan keadaan 
wait,stay in one place and anticipate or expect something,hadang,bagana di satu tempat
"fail, betray","disappoint, prove undependable to; abandon, forsake",bahianat,kd kawa diharap
"decrease, diminish, lessen, fall","decrease in size, extent, or range",tuntung,bahalus
"receive, have",get something; come into possession of,dapat,dapat sesuatu
"get, acquire",come into the possession of something concrete or abstract,dapat,dapat sesuatu
shake,bring to a specified condition by or as if by shaking,guncang,kondisi tertentu
"wipe, pass over",rub with a circular motion,bersih akan ,barasih akan 
increase,become bigger or greater in amount,maningkat,jadi lebih ganal
sweep,clean by sweeping,barasihakan,mambarsihkan dengan sapu
